src_bytes,class
12,normal
281,normal
0,anomaly
42,normal
0,anomaly
0,anomaly
263,normal
1,anomaly
0,normal
0,anomaly
0,anomaly
283,normal
161,normal
211,normal
201,normal
8,anomaly
147,normal
0,anomaly
567,normal
0,anomaly
0,anomaly
5131424,anomaly
320,normal
8,anomaly
0,normal
204,normal
0,anomaly
10389,normal
0,anomaly
344,normal
0,anomaly
0,anomaly
243,normal
1032,anomaly
8,anomaly
0,anomaly
105,normal
0,anomaly
1080,normal
0,anomaly
0,anomaly
0,anomaly
657,normal
0,anomaly
284,normal
261,normal
317,normal
33,normal
0,anomaly
0,anomaly
44,normal
215,normal
0,anomaly
332,normal
978,normal
296,normal
0,anomaly
0,anomaly
214,normal
0,anomaly
48,normal
226,normal
0,anomaly
78,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
294,normal
0,anomaly
220,normal
0,anomaly
196,normal
0,anomaly
327,normal
0,anomaly
319,normal
1087,normal
210,normal
0,anomaly
0,normal
234,normal
8,anomaly
54540,anomaly
237,normal
0,anomaly
0,anomaly
200,normal
219,normal
284,normal
0,anomaly
325,normal
0,anomaly
30,normal
335,normal
36,normal
0,anomaly
43,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
216,normal
0,anomaly
44,normal
347,normal
570,normal
219,normal
146,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1,anomaly
0,anomaly
18,anomaly
0,normal
233,normal
0,anomaly
276,normal
44,normal
8,anomaly
1828,normal
200,normal
46,normal
0,anomaly
0,anomaly
216,normal
0,anomaly
234,normal
220,normal
0,anomaly
105,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
288,normal
0,anomaly
0,anomaly
1,anomaly
28,anomaly
279,normal
1032,anomaly
192,normal
105,normal
0,anomaly
1330,normal
520,anomaly
0,anomaly
230,normal
44,normal
271,normal
179,normal
852,normal
222,normal
314,normal
0,anomaly
230,normal
0,anomaly
0,anomaly
857,normal
234,normal
1032,anomaly
28,anomaly
0,anomaly
215,normal
46,normal
105,normal
0,anomaly
0,anomaly
0,anomaly
305,normal
0,anomaly
336,normal
0,anomaly
0,anomaly
147,normal
335,normal
0,anomaly
339,normal
317,normal
0,anomaly
54540,anomaly
0,anomaly
42,normal
986,normal
0,anomaly
183,normal
0,anomaly
405,normal
0,anomaly
785,normal
258,normal
0,anomaly
8,anomaly
318,normal
0,anomaly
0,anomaly
0,anomaly
216,normal
0,anomaly
291,normal
224,normal
0,anomaly
0,anomaly
17,normal
0,anomaly
29,normal
105,normal
30,normal
325,normal
0,anomaly
0,normal
12,normal
212,normal
240,normal
292,normal
172,normal
0,anomaly
310,normal
44,normal
145,normal
1238,anomaly
8,anomaly
45,normal
0,anomaly
1551,normal
1308,normal
356,normal
364,normal
331,normal
30,normal
0,anomaly
0,anomaly
247,normal
300,normal
0,anomaly
355,normal
0,anomaly
316,normal
44,normal
1458,normal
0,anomaly
146,normal
0,anomaly
0,anomaly
1,anomaly
0,anomaly
0,anomaly
146,normal
0,anomaly
13794,normal
0,anomaly
911,normal
0,anomaly
280,normal
0,anomaly
0,anomaly
41,normal
10,normal
311,normal
281,normal
297,normal
0,anomaly
43,normal
0,anomaly
334,anomaly
8,anomaly
215,normal
0,anomaly
0,normal
516,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
44,normal
0,anomaly
676,normal
334,normal
0,anomaly
0,anomaly
204,normal
520,anomaly
0,anomaly
192,normal
18,anomaly
0,anomaly
0,anomaly
0,anomaly
256,normal
64,normal
46,normal
0,anomaly
220,normal
41,normal
248,normal
1250,anomaly
0,anomaly
44,normal
209,normal
5891,normal
8,anomaly
276,normal
231,normal
0,anomaly
312,normal
1,anomaly
0,anomaly
29,normal
13239,normal
0,anomaly
8,normal
0,anomaly
44,normal
0,anomaly
0,anomaly
324,normal
0,anomaly
18,anomaly
355,normal
1,anomaly
0,anomaly
54540,anomaly
205,normal
0,anomaly
325,normal
0,anomaly
232,normal
886,normal
319,normal
0,anomaly
0,anomaly
147,normal
1451,normal
54540,anomaly
235,normal
0,anomaly
0,anomaly
299,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
237,normal
0,anomaly
146,normal
0,anomaly
146,normal
202,normal
0,anomaly
383,normal
345,normal
278,normal
0,anomaly
196,normal
0,anomaly
277,normal
203,normal
0,anomaly
147,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
367,normal
0,anomaly
257,normal
8,anomaly
44,normal
128,normal
254,normal
225,normal
775,normal
314,normal
0,anomaly
525,normal
0,anomaly
1,anomaly
213,normal
190,normal
0,anomaly
28,anomaly
0,anomaly
1067,normal
126,normal
333,normal
0,anomaly
4491,normal
0,anomaly
54540,anomaly
239,normal
0,normal
1258,normal
0,anomaly
0,anomaly
0,normal
42,normal
224,normal
231,normal
147,normal
44,normal
183,normal
0,anomaly
0,anomaly
125,anomaly
13,normal
233,normal
30,normal
0,anomaly
278,normal
0,anomaly
0,anomaly
237,normal
301,normal
246,normal
230,normal
46,normal
147,normal
0,anomaly
641,normal
28,anomaly
0,anomaly
82,normal
0,anomaly
0,anomaly
0,anomaly
46,normal
0,anomaly
0,anomaly
376,normal
0,anomaly
105,normal
334,anomaly
0,anomaly
30,normal
1053,normal
46,normal
45,normal
1539,normal
0,anomaly
0,anomaly
358,normal
44,normal
282,normal
323,normal
105,normal
218,normal
0,anomaly
0,anomaly
329,normal
788,normal
311,normal
0,anomaly
0,anomaly
35,normal
1032,anomaly
0,anomaly
0,anomaly
59,normal
0,anomaly
226,normal
203,normal
2544,normal
1032,anomaly
327,normal
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
54540,anomaly
0,anomaly
0,anomaly
28,anomaly
8,anomaly
0,anomaly
0,anomaly
763,normal
0,anomaly
307,normal
0,anomaly
0,anomaly
236,normal
246,anomaly
0,anomaly
0,anomaly
0,anomaly
300,normal
254,normal
147,normal
0,anomaly
1,anomaly
334,anomaly
0,anomaly
1221,normal
0,anomaly
8,anomaly
299,normal
1874,normal
1301,normal
1,anomaly
43,normal
1032,anomaly
0,anomaly
330,normal
0,anomaly
302,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
284,normal
0,anomaly
12,normal
238,normal
1194,normal
6601,normal
12,normal
1452,normal
2194619,normal
0,anomaly
0,anomaly
0,anomaly
240,normal
0,anomaly
42,normal
0,anomaly
336,normal
11436,normal
0,anomaly
195,normal
516,normal
286,normal
0,anomaly
215,normal
196,normal
722,normal
0,anomaly
0,anomaly
214,normal
0,anomaly
232,normal
224,normal
8,anomaly
192,normal
294,normal
0,anomaly
213,normal
0,anomaly
105,normal
0,anomaly
303,normal
0,anomaly
44,normal
73,normal
197,normal
0,anomaly
242,normal
0,anomaly
308,normal
0,anomaly
0,anomaly
291,normal
0,anomaly
2697,normal
1,anomaly
0,anomaly
0,anomaly
200,normal
0,anomaly
0,anomaly
8,normal
1032,anomaly
28,anomaly
0,anomaly
341,normal
8,normal
0,anomaly
0,anomaly
1483,normal
46,normal
2426,normal
36,normal
210,normal
0,anomaly
0,anomaly
170,normal
0,anomaly
8,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
269,normal
315,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
216,normal
0,normal
0,anomaly
235,normal
667,normal
1160,normal
8,anomaly
1299,normal
0,anomaly
0,anomaly
711,normal
1032,anomaly
8,anomaly
0,anomaly
0,anomaly
0,anomaly
42,normal
0,anomaly
147,normal
0,normal
0,anomaly
222,normal
0,anomaly
198,normal
0,anomaly
520,anomaly
0,anomaly
0,anomaly
0,anomaly
8,anomaly
0,anomaly
0,anomaly
0,anomaly
217,normal
0,anomaly
8,anomaly
252,normal
200,normal
0,anomaly
243,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
209,normal
215,normal
0,anomaly
31,normal
338,normal
249,normal
232,normal
260,normal
0,anomaly
0,anomaly
2168,normal
373,normal
347,normal
354,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
305,normal
0,anomaly
105,normal
221,normal
887,normal
695,normal
520,anomaly
495,normal
0,anomaly
0,anomaly
2760,normal
45,normal
756,normal
0,anomaly
218,normal
0,anomaly
0,anomaly
0,anomaly
7196,normal
46,normal
12,normal
45,normal
43,normal
520,anomaly
206,normal
1032,anomaly
2634,normal
334,normal
4539,normal
320,normal
30,normal
0,normal
281,normal
345,normal
0,anomaly
223,normal
0,anomaly
0,normal
8,anomaly
0,anomaly
204,normal
0,anomaly
1,anomaly
0,anomaly
0,anomaly
676,normal
209,normal
0,anomaly
0,anomaly
229,normal
0,anomaly
516,normal
344,normal
0,anomaly
0,anomaly
277,normal
325,normal
0,anomaly
1277,normal
0,anomaly
0,anomaly
219,normal
0,anomaly
0,anomaly
41,normal
0,anomaly
0,anomaly
326,normal
0,anomaly
1032,anomaly
0,anomaly
334,anomaly
8,anomaly
0,anomaly
0,anomaly
229,normal
205,normal
0,anomaly
319,normal
0,anomaly
304,normal
9,normal
0,anomaly
356,normal
0,anomaly
44,normal
0,anomaly
299,normal
381709090,anomaly
6,anomaly
0,normal
0,anomaly
0,anomaly
366,normal
0,normal
0,anomaly
2194619,normal
145,normal
146,normal
0,anomaly
45,normal
0,anomaly
0,anomaly
236,normal
0,anomaly
0,anomaly
258,normal
0,anomaly
188,normal
0,anomaly
1195,anomaly
992,normal
0,anomaly
310,normal
2597,normal
0,anomaly
251,normal
0,anomaly
748,normal
158,normal
0,anomaly
0,anomaly
8,anomaly
0,anomaly
229,normal
8,anomaly
10044,normal
123,normal
0,anomaly
276,normal
0,anomaly
319,normal
280,normal
0,anomaly
42,normal
8,anomaly
2838,normal
463,normal
0,anomaly
0,anomaly
45,normal
8,anomaly
0,normal
0,anomaly
28,anomaly
0,anomaly
294,normal
146,normal
31,normal
29,normal
0,anomaly
1131,normal
217,normal
1329,normal
44,normal
0,anomaly
8,anomaly
224,normal
290,normal
242,normal
197,normal
1032,anomaly
318,normal
0,anomaly
234,normal
1032,anomaly
1492,normal
0,anomaly
0,anomaly
0,normal
303,normal
262,normal
0,anomaly
334,anomaly
258,normal
215,anomaly
246,normal
312,normal
201,normal
222,normal
290,normal
11376,normal
0,anomaly
306,normal
308,normal
0,anomaly
0,anomaly
0,anomaly
199,normal
0,anomaly
8,anomaly
1,anomaly
0,anomaly
564,anomaly
0,anomaly
280,normal
0,anomaly
186,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
44,normal
197,normal
0,anomaly
0,anomaly
0,anomaly
8,anomaly
0,anomaly
28,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
8,anomaly
0,anomaly
14,normal
0,anomaly
8,anomaly
0,anomaly
1032,anomaly
181,normal
105,normal
1,anomaly
289,normal
45,normal
1032,anomaly
1121,normal
235,normal
0,anomaly
299,normal
0,anomaly
0,anomaly
0,anomaly
520,anomaly
664,normal
1770,normal
42,normal
276,normal
0,anomaly
0,anomaly
299,normal
0,normal
296,normal
0,anomaly
224,normal
2376,normal
18,anomaly
210,normal
327,normal
0,anomaly
0,anomaly
0,anomaly
306,normal
1211,normal
44,normal
0,anomaly
43,normal
0,anomaly
229,normal
0,anomaly
307,normal
0,anomaly
228,normal
0,anomaly
0,anomaly
211,normal
259,normal
31,normal
0,anomaly
1,anomaly
538,normal
0,anomaly
520,anomaly
0,anomaly
748,normal
0,anomaly
0,anomaly
43,normal
283,normal
341,normal
8,anomaly
42,normal
0,anomaly
1,anomaly
0,anomaly
10389,normal
0,anomaly
45,normal
74,normal
43,normal
1243,normal
318,normal
2194619,normal
0,anomaly
78,normal
43,normal
1637,normal
213,normal
0,anomaly
1232,normal
266,normal
285,normal
0,anomaly
286,normal
30,normal
0,anomaly
0,anomaly
0,anomaly
223,normal
200,normal
0,anomaly
0,anomaly
1480,anomaly
45,normal
0,anomaly
28,anomaly
204,normal
0,anomaly
297,normal
0,anomaly
0,anomaly
0,anomaly
300,normal
8,anomaly
0,normal
30,anomaly
0,anomaly
0,anomaly
8,anomaly
0,anomaly
105,normal
1,anomaly
244,normal
8,anomaly
0,anomaly
771,normal
105,normal
0,anomaly
254,normal
0,anomaly
330,normal
0,anomaly
0,normal
0,anomaly
166,normal
322,normal
28,anomaly
30,normal
45,normal
0,anomaly
8,anomaly
0,anomaly
215,anomaly
298,normal
0,anomaly
252,normal
0,anomaly
0,anomaly
4539,normal
197,normal
0,anomaly
0,anomaly
259,normal
1193,normal
46,normal
1016,normal
0,anomaly
237,normal
0,anomaly
0,anomaly
0,anomaly
219,normal
0,anomaly
0,anomaly
8,anomaly
0,anomaly
45,normal
0,anomaly
0,anomaly
43,normal
0,anomaly
276,normal
147,normal
172,normal
42,normal
237,normal
200,normal
360,normal
347,normal
231,normal
224,normal
0,anomaly
0,anomaly
201,normal
43,normal
8,anomaly
0,anomaly
226,normal
704,normal
186,normal
44,anomaly
8,anomaly
0,anomaly
0,anomaly
30,normal
0,anomaly
0,anomaly
1231,anomaly
285,normal
0,anomaly
520,anomaly
0,anomaly
272,normal
201,normal
286,normal
0,anomaly
0,anomaly
370,normal
8,anomaly
8,normal
43,normal
1,anomaly
888,normal
268,normal
0,anomaly
46,normal
383,normal
520,anomaly
0,anomaly
0,anomaly
1032,anomaly
257,normal
160,normal
0,anomaly
0,anomaly
0,anomaly
1,anomaly
210,normal
0,anomaly
0,anomaly
292,normal
300,normal
0,anomaly
0,anomaly
0,anomaly
186,normal
0,anomaly
334,normal
318,normal
305,normal
740,normal
204,normal
0,anomaly
8,anomaly
0,anomaly
0,normal
1218,anomaly
286,normal
1,anomaly
0,anomaly
0,anomaly
258,normal
355,normal
0,anomaly
0,anomaly
276,normal
0,anomaly
8,anomaly
54540,anomaly
149,normal
328,normal
46,normal
28,anomaly
28,anomaly
0,anomaly
0,anomaly
42,normal
1230,normal
0,anomaly
0,anomaly
0,anomaly
1032,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
42,normal
0,anomaly
330,normal
0,anomaly
0,anomaly
0,anomaly
520,anomaly
0,anomaly
0,anomaly
44,normal
0,anomaly
319,normal
0,anomaly
8325,normal
275,normal
1032,anomaly
223,normal
33,normal
323,normal
0,anomaly
0,anomaly
2278,normal
1788,normal
0,anomaly
317,normal
332,normal
0,anomaly
0,anomaly
30,normal
201,normal
28,anomaly
303,normal
0,anomaly
0,anomaly
0,anomaly
366,normal
0,anomaly
0,anomaly
520,anomaly
206,normal
327,normal
105,normal
192,normal
0,anomaly
54540,anomaly
218,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
205,normal
0,anomaly
146,normal
215,normal
314,normal
45,normal
1,anomaly
0,anomaly
303,normal
520,anomaly
0,anomaly
0,anomaly
1684,normal
245,normal
30,normal
8325,normal
222,normal
224,normal
850,normal
210,normal
293,normal
0,anomaly
2194619,normal
214,normal
0,anomaly
227,normal
0,anomaly
223,normal
219,normal
8,anomaly
184,normal
0,normal
1214,normal
0,anomaly
64,normal
0,anomaly
0,anomaly
0,anomaly
210,normal
221,normal
301,normal
0,normal
0,anomaly
43,normal
842,normal
0,anomaly
0,anomaly
0,anomaly
44,normal
0,anomaly
0,anomaly
236,normal
54540,anomaly
46,normal
1,anomaly
54540,anomaly
0,anomaly
105,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
215,normal
293,normal
0,anomaly
250,normal
296,normal
0,anomaly
2056,normal
333,normal
231,normal
310,normal
0,anomaly
289,normal
242,normal
0,anomaly
44,normal
0,anomaly
45,normal
0,anomaly
337,normal
35,normal
226,normal
0,normal
0,anomaly
373,normal
0,normal
185,normal
0,anomaly
104,normal
210,normal
8,anomaly
343,normal
0,anomaly
0,anomaly
43,normal
43,normal
213,normal
200,normal
0,anomaly
0,anomaly
246,normal
255,normal
322,normal
0,anomaly
149,normal
29,normal
0,anomaly
177,normal
1110,normal
0,anomaly
0,anomaly
300,normal
0,anomaly
0,anomaly
0,anomaly
326,normal
0,anomaly
0,anomaly
0,anomaly
325,normal
3731,normal
227,normal
8,anomaly
0,anomaly
0,anomaly
212,normal
214,normal
0,anomaly
1452,normal
0,anomaly
8,anomaly
0,anomaly
0,anomaly
0,anomaly
225,normal
8,anomaly
0,anomaly
0,anomaly
0,normal
46,normal
208,normal
162,normal
233,normal
105,normal
18,anomaly
303,normal
230,normal
1013,normal
0,anomaly
0,anomaly
0,anomaly
234,normal
0,anomaly
109,normal
796,normal
223,normal
0,anomaly
0,anomaly
337,normal
319,normal
0,anomaly
0,anomaly
326,normal
338,normal
312,normal
239,normal
35,normal
0,anomaly
324,normal
0,normal
8,anomaly
0,anomaly
185,normal
312,normal
0,anomaly
0,anomaly
0,anomaly
45,normal
313,normal
8766,normal
192,normal
147,normal
10272,normal
0,anomaly
0,normal
255,normal
241,normal
0,anomaly
0,anomaly
0,anomaly
221,normal
91,normal
333,normal
28,anomaly
315,normal
222,normal
277,normal
44,normal
0,anomaly
0,anomaly
0,anomaly
102,normal
2194619,normal
203,normal
8,anomaly
0,anomaly
2053,normal
2004,normal
0,normal
14189,normal
103,normal
952,normal
215,anomaly
206,normal
48,normal
0,anomaly
10073,normal
232,normal
787,normal
1714,normal
44,normal
297,normal
1032,anomaly
789,normal
0,anomaly
369,normal
0,normal
0,anomaly
1153,anomaly
1,anomaly
0,normal
0,anomaly
316,normal
0,anomaly
1392,normal
0,anomaly
115,normal
0,anomaly
0,anomaly
252,normal
208,normal
291,normal
7,normal
44,normal
9178,normal
28,anomaly
10,normal
88,normal
241,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
293,normal
199,normal
334,anomaly
0,anomaly
229,normal
296,normal
0,anomaly
0,anomaly
0,anomaly
321,normal
105,normal
9,normal
645,normal
0,anomaly
7,normal
0,normal
264,normal
0,normal
9,normal
204,normal
0,anomaly
0,anomaly
0,anomaly
1334,normal
264,normal
0,anomaly
0,anomaly
246,normal
28,anomaly
0,anomaly
0,anomaly
711,normal
965,normal
260,normal
298,normal
8,anomaly
54540,anomaly
0,anomaly
516,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
309,normal
0,normal
0,anomaly
145,normal
0,anomaly
8,anomaly
0,anomaly
55,normal
182,normal
255,normal
1,anomaly
302,normal
173,normal
0,anomaly
44,normal
0,anomaly
0,anomaly
0,anomaly
334,normal
752,normal
225,normal
1256,normal
147,normal
8,anomaly
105,normal
0,anomaly
316,normal
209,normal
0,anomaly
0,anomaly
0,anomaly
8,anomaly
933,normal
0,anomaly
0,anomaly
9311,normal
146,normal
6,normal
45,normal
0,anomaly
8,anomaly
8,anomaly
275,normal
861,normal
375,normal
210,normal
0,normal
334,anomaly
0,anomaly
244,normal
0,anomaly
0,anomaly
350,normal
1463,normal
0,anomaly
245,normal
186,normal
210,normal
1032,anomaly
0,anomaly
0,anomaly
0,anomaly
1917,normal
280,normal
0,anomaly
227,normal
231,normal
43,normal
0,anomaly
0,anomaly
0,anomaly
247,normal
1493,normal
33,normal
847,normal
0,anomaly
0,anomaly
8,anomaly
0,anomaly
8,anomaly
0,anomaly
1153,normal
0,anomaly
0,anomaly
146,normal
0,normal
142,normal
0,anomaly
0,anomaly
227,normal
297,normal
0,anomaly
0,anomaly
520,anomaly
1030,normal
243,normal
296,normal
852,normal
44,normal
0,normal
332,normal
1032,anomaly
8,anomaly
0,anomaly
0,anomaly
1,anomaly
18,anomaly
212,normal
0,anomaly
0,normal
0,anomaly
308,normal
0,anomaly
211,normal
44,normal
0,normal
804,normal
0,anomaly
0,anomaly
0,anomaly
313,normal
301,normal
216,normal
341,normal
0,anomaly
2140,normal
319,normal
292,normal
288,normal
58,normal
2780,normal
1042,anomaly
222,normal
302,normal
0,anomaly
216,normal
516,normal
0,anomaly
333,normal
0,anomaly
245,normal
0,normal
46,normal
0,anomaly
0,anomaly
1507,normal
18,anomaly
273,normal
520,anomaly
301,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
225,normal
44,normal
1032,anomaly
0,anomaly
843,normal
15377,normal
33,normal
167,normal
242,normal
0,anomaly
45,normal
0,anomaly
221,normal
210,normal
46,normal
45,normal
520,anomaly
0,anomaly
1917,normal
44,normal
1032,anomaly
218,normal
41,normal
0,anomaly
0,anomaly
1182,normal
0,normal
0,anomaly
223,normal
71,normal
208,normal
2540,normal
46,normal
0,anomaly
28,anomaly
228,normal
307,normal
206,normal
0,anomaly
296,normal
0,anomaly
200,normal
0,anomaly
241,normal
0,anomaly
218,normal
44,normal
151,normal
337,normal
516,normal
246,normal
0,anomaly
0,anomaly
228,normal
20658,normal
44,normal
1,anomaly
3676,normal
301,normal
0,anomaly
1186,normal
1723,normal
0,anomaly
0,anomaly
6,anomaly
0,anomaly
220,normal
0,anomaly
207,normal
0,anomaly
0,normal
146,normal
54540,anomaly
0,anomaly
43,normal
1267,normal
0,anomaly
45,normal
30,normal
54540,anomaly
7,normal
0,anomaly
54540,anomaly
315,normal
42,normal
0,anomaly
0,anomaly
44,normal
218,normal
1,anomaly
374,normal
1048,normal
0,anomaly
0,anomaly
201,normal
322,normal
274,normal
1505,normal
218,normal
0,anomaly
190,normal
0,anomaly
223,normal
182,normal
955,normal
0,anomaly
189,normal
879,normal
328,normal
147,normal
30,normal
0,anomaly
0,anomaly
0,anomaly
308,normal
328,normal
0,normal
268,normal
294,normal
240,normal
306,normal
0,anomaly
295,normal
0,anomaly
223,normal
0,normal
0,anomaly
146,normal
78,normal
202,normal
0,anomaly
205,normal
1766,normal
246,normal
46,normal
5558,normal
0,anomaly
343,normal
897,normal
0,anomaly
338,normal
0,anomaly
0,anomaly
305,normal
1338,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
225,normal
0,anomaly
0,anomaly
749,normal
0,anomaly
217,normal
45,normal
170,normal
0,anomaly
2600,normal
0,anomaly
43,normal
383,normal
359,normal
296,normal
174,normal
42,normal
1145,normal
1032,anomaly
380,normal
0,anomaly
45,normal
213,normal
44,normal
44,normal
0,normal
1,anomaly
0,anomaly
298,normal
0,anomaly
1,anomaly
198,normal
235,normal
191,normal
0,anomaly
1032,anomaly
283,normal
0,anomaly
0,anomaly
293,normal
45,normal
33,normal
330,normal
45,normal
290,normal
219,normal
0,anomaly
1,anomaly
516,normal
358,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1170,anomaly
145,normal
44,normal
30,normal
237,normal
321,normal
226,normal
126,normal
30,normal
46,normal
8,anomaly
46,normal
337,normal
0,anomaly
7162,normal
0,anomaly
1205,normal
2194619,normal
346,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1693,normal
0,anomaly
0,anomaly
861,normal
1132,normal
1585,normal
0,anomaly
147,normal
0,anomaly
0,anomaly
0,anomaly
7,normal
0,anomaly
0,anomaly
282,normal
0,anomaly
43,normal
191,normal
227,normal
0,anomaly
200,normal
0,anomaly
35,normal
147,normal
1737,normal
0,anomaly
1459,normal
0,anomaly
185,normal
0,anomaly
8,anomaly
0,anomaly
192,normal
8,anomaly
362,normal
0,anomaly
0,anomaly
0,anomaly
865,normal
208,normal
0,normal
215,normal
0,normal
54540,anomaly
13,normal
0,anomaly
78,normal
258,normal
645,normal
187,normal
1032,anomaly
350,normal
0,anomaly
367,normal
300,normal
213,normal
0,anomaly
216,normal
10,normal
46,normal
339,normal
0,anomaly
0,anomaly
0,anomaly
1,anomaly
992,normal
0,normal
0,anomaly
0,anomaly
34,normal
44,normal
0,normal
102,normal
211,normal
0,anomaly
203,normal
0,anomaly
1230,anomaly
0,anomaly
0,anomaly
320,normal
0,anomaly
1561,normal
0,anomaly
30,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1195,normal
1032,anomaly
0,anomaly
1032,anomaly
45,normal
28,anomaly
54540,anomaly
1376,normal
1032,anomaly
0,anomaly
243,normal
0,anomaly
201,normal
172,normal
10,normal
0,anomaly
1,anomaly
1,anomaly
195,normal
0,anomaly
0,anomaly
1130,normal
334,normal
8,anomaly
313,normal
0,anomaly
296,normal
217,normal
512,normal
54540,anomaly
54540,anomaly
0,anomaly
199,normal
221,normal
319,normal
0,anomaly
1032,anomaly
104,anomaly
6601,normal
0,anomaly
37,normal
520,anomaly
0,anomaly
37,normal
236,normal
0,anomaly
0,anomaly
341,normal
0,anomaly
147,normal
44,normal
317,normal
331,normal
339,normal
383,normal
179,normal
298,normal
0,anomaly
0,anomaly
