src_bytes,dst_bytes,class
0,0,anomaly
2697,331,normal
1,0,anomaly
0,0,anomaly
0,0,anomaly
200,3042,normal
0,0,anomaly
0,0,anomaly
8,224,normal
1032,0,anomaly
28,0,anomaly
0,0,anomaly
341,281,normal
8,493,normal
0,0,anomaly
0,0,anomaly
1483,363,normal
46,128,normal
2426,2737,normal
36,0,normal
210,1425,normal
0,0,anomaly
0,0,anomaly
170,13603,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
269,8921,normal
315,347,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
216,7384,normal
0,0,normal
0,0,anomaly
235,12623,normal
667,332,normal
1160,333,normal
8,0,anomaly
1299,329,normal
0,0,anomaly
0,0,anomaly
711,336,normal
1032,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
42,42,normal
0,0,anomaly
147,0,normal
0,0,normal
0,0,anomaly
222,5834,normal
0,0,anomaly
198,1427,normal
0,0,anomaly
520,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
217,1035,normal
0,0,anomaly
8,0,anomaly
252,2795,normal
200,940,normal
0,0,anomaly
243,663,normal
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
209,2408,normal
215,11680,normal
0,0,anomaly
31,0,normal
338,275,normal
249,27998,normal
232,5745,normal
260,283,normal
0,0,anomaly
0,0,anomaly
2168,402,normal
373,0,normal
347,1417,normal
354,1875,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
305,2698,normal
0,0,anomaly
105,147,normal
221,602,normal
887,436,normal
695,328,normal
520,0,anomaly
495,0,normal
0,0,anomaly
0,0,anomaly
2760,370,normal
45,83,normal
756,332,normal
0,0,anomaly
218,6776,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
7196,0,normal
46,134,normal
12,0,normal
45,130,normal
43,71,normal
520,0,anomaly
206,12642,normal
1032,0,anomaly
2634,8611,normal
334,10686,normal
4539,0,normal
320,520,normal
30,0,normal
0,0,normal
281,759,normal
345,3938,normal
0,0,anomaly
223,408,normal
0,0,anomaly
0,0,normal
8,0,anomaly
0,0,anomaly
204,260,normal
0,0,anomaly
1,0,anomaly
0,0,anomaly
0,0,anomaly
676,23920,normal
209,3556,normal
0,0,anomaly
0,0,anomaly
229,934,normal
0,0,anomaly
516,4,normal
344,1247,normal
0,0,anomaly
0,0,anomaly
277,1224,normal
325,3941,normal
0,0,anomaly
1277,328,normal
0,0,anomaly
0,0,anomaly
219,183,normal
0,0,anomaly
0,0,anomaly
41,71,normal
0,0,anomaly
0,0,anomaly
326,420,normal
0,0,anomaly
1032,0,anomaly
0,0,anomaly
334,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
229,301,normal
205,6622,normal
0,0,anomaly
319,583,normal
0,0,anomaly
304,1380,normal
9,317,normal
0,0,anomaly
356,1137,normal
0,0,anomaly
44,73,normal
0,0,anomaly
299,12471,normal
381709090,0,anomaly
6,123,anomaly
0,15,normal
0,0,anomaly
0,0,anomaly
366,4084,normal
0,0,normal
0,0,anomaly
2194619,0,normal
145,105,normal
146,105,normal
0,0,anomaly
45,45,normal
0,0,anomaly
0,0,anomaly
236,357,normal
0,0,anomaly
0,0,anomaly
258,11380,normal
0,0,anomaly
188,13450,normal
0,0,anomaly
1195,2449,anomaly
992,329,normal
0,0,anomaly
310,255,normal
2597,331,normal
0,0,anomaly
251,1981,normal
0,0,anomaly
748,0,normal
158,38643,normal
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
229,682,normal
8,0,anomaly
10044,0,normal
123,234,normal
0,0,anomaly
276,108545,normal
0,0,anomaly
319,4143,normal
280,16574,normal
0,0,anomaly
42,42,normal
8,0,anomaly
2838,325,normal
463,12604,normal
0,0,anomaly
0,0,anomaly
45,134,normal
8,0,anomaly
0,4,normal
0,0,anomaly
28,0,anomaly
0,0,anomaly
294,3808,normal
146,105,normal
31,91,normal
29,29,normal
0,0,anomaly
1131,326,normal
217,2887,normal
1329,330,normal
44,145,normal
0,0,anomaly
8,0,anomaly
224,6874,normal
290,1704,normal
242,16819,normal
197,7204,normal
1032,0,anomaly
318,9696,normal
0,0,anomaly
234,2659,normal
1032,0,anomaly
1492,336,normal
0,0,anomaly
0,0,anomaly
0,0,normal
303,6833,normal
262,3819,normal
0,0,anomaly
334,0,anomaly
258,12037,normal
215,0,anomaly
246,1600,normal
312,3222,normal
201,0,normal
222,2446,normal
290,2107,normal
11376,0,normal
0,0,anomaly
306,3222,normal
308,608,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
199,749,normal
0,0,anomaly
8,0,anomaly
1,0,anomaly
0,0,anomaly
564,0,anomaly
0,0,anomaly
280,9544,normal
0,0,anomaly
186,15495,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
44,73,normal
197,380,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
28,0,anomaly
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
14,41,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
1032,0,anomaly
181,0,normal
105,147,normal
1,0,anomaly
289,2488,normal
45,45,normal
1032,0,anomaly
1121,7999,normal
235,512,normal
0,0,anomaly
299,1129,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
520,0,anomaly
664,333,normal
1770,328,normal
42,42,normal
276,2924,normal
0,0,anomaly
0,0,anomaly
299,1380,normal
0,0,normal
296,943,normal
0,0,anomaly
224,8621,normal
2376,329,normal
18,0,anomaly
210,566,normal
327,1695,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
306,1319,normal
1211,282,normal
44,44,normal
0,0,anomaly
43,128,normal
0,0,anomaly
229,8015,normal
0,0,anomaly
307,321,normal
0,0,anomaly
228,24786,normal
0,0,anomaly
0,0,anomaly
211,321,normal
259,275,normal
31,47,normal
0,0,anomaly
1,0,anomaly
538,6471,normal
0,0,anomaly
520,0,anomaly
0,0,anomaly
748,0,normal
0,0,anomaly
0,0,anomaly
43,136,normal
283,337,normal
341,786,normal
8,0,anomaly
42,42,normal
0,0,anomaly
1,0,anomaly
0,0,anomaly
10389,0,normal
0,0,anomaly
45,45,normal
74,0,normal
43,68,normal
1243,366,normal
318,495,normal
2194619,0,normal
0,0,anomaly
78,44,normal
43,116,normal
1637,338,normal
213,900,normal
0,0,anomaly
1232,333,normal
266,499,normal
285,2531,normal
0,0,anomaly
286,1425,normal
30,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
223,3327,normal
200,1061,normal
0,0,anomaly
0,0,anomaly
1480,0,anomaly
45,140,normal
0,0,anomaly
28,0,anomaly
204,313,normal
0,0,anomaly
297,753,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
300,311,normal
8,0,anomaly
0,0,normal
30,0,anomaly
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
105,146,normal
1,0,anomaly
244,263,normal
8,0,anomaly
0,0,anomaly
771,374,normal
105,147,normal
0,0,anomaly
254,5918,normal
0,0,anomaly
330,13508,normal
0,0,anomaly
0,0,normal
0,0,anomaly
166,23376,normal
322,1408,normal
28,0,anomaly
30,0,normal
45,130,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
215,0,anomaly
298,3571,normal
0,0,anomaly
252,273544,normal
0,0,anomaly
0,0,anomaly
4539,0,normal
197,18881,normal
0,0,anomaly
0,0,anomaly
259,1541,normal
1193,333,normal
46,117,normal
1016,332,normal
0,0,anomaly
237,5250,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
219,6721,normal
0,0,anomaly
0,0,anomaly
8,0,anomaly
0,0,anomaly
45,72,normal
0,0,anomaly
0,0,anomaly
43,107,normal
0,0,anomaly
276,71903,normal
147,0,normal
172,15119,normal
42,42,normal
237,3891,normal
200,267,normal
360,1738,normal
347,807,normal
231,1225,normal
224,4114,normal
0,0,anomaly
0,0,anomaly
201,2435,normal
43,71,normal
8,0,anomaly
0,0,anomaly
226,3709,normal
704,2070,normal
186,14609,normal
44,672,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
30,0,normal
0,0,anomaly
0,0,anomaly
1231,2451,anomaly
285,263,normal
0,0,anomaly
520,0,anomaly
0,0,anomaly
272,4841,normal
201,1148,normal
286,1476,normal
0,0,anomaly
0,0,anomaly
370,274,normal
8,0,anomaly
8,0,normal
43,73,normal
1,0,anomaly
888,328,normal
268,656,normal
0,0,anomaly
46,77,normal
383,0,normal
520,0,anomaly
0,0,anomaly
0,0,anomaly
1032,0,anomaly
257,1650,normal
160,584,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
1,0,anomaly
210,10561,normal
0,0,anomaly
0,0,anomaly
292,263,normal
300,1444,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
186,14515,normal
0,0,anomaly
334,479,normal
318,760,normal
305,928,normal
740,0,normal
204,269,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,normal
1218,2449,anomaly
286,7833,normal
1,0,anomaly
0,0,anomaly
0,0,anomaly
258,11758,normal
355,8377,normal
0,0,anomaly
0,0,anomaly
276,365,normal
0,0,anomaly
8,0,anomaly
54540,8314,anomaly
149,13592,normal
328,1831,normal
46,128,normal
28,0,anomaly
28,0,anomaly
0,0,anomaly
0,0,anomaly
42,132,normal
1230,328,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
1032,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
42,42,normal
0,0,anomaly
330,772,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
520,0,anomaly
0,0,anomaly
0,0,anomaly
44,127,normal
0,0,anomaly
319,731,normal
0,0,anomaly
8325,0,normal
275,337,normal
1032,0,anomaly
223,923,normal
33,93,normal
323,2996,normal
0,0,anomaly
0,0,anomaly
2278,0,normal
1788,9968,normal
0,0,anomaly
317,789,normal
332,1394,normal
0,0,anomaly
0,0,anomaly
30,0,normal
201,7980,normal
28,0,anomaly
303,1380,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
366,2862,normal
0,0,anomaly
0,0,anomaly
520,0,anomaly
206,5015,normal
327,660,normal
105,0,normal
192,0,normal
0,0,anomaly
54540,8314,anomaly
218,2839,normal
0,0,anomaly
0,0,normal
0,0,anomaly
0,0,anomaly
205,4858,normal
0,0,anomaly
146,105,normal
215,4408,normal
314,2055,normal
45,131,normal
1,0,anomaly
0,0,anomaly
303,29228,normal
520,0,anomaly
0,0,anomaly
0,0,anomaly
1684,330,normal
245,0,normal
30,0,normal
8325,0,normal
222,6662,normal
224,347,normal
850,325,normal
210,1863,normal
293,732,normal
0,0,anomaly
2194619,0,normal
214,266,normal
0,0,anomaly
227,1317,normal
0,0,anomaly
223,2358,normal
219,841,normal
8,0,anomaly
184,783,normal
0,0,normal
1214,0,normal
0,0,anomaly
64,0,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
210,1801,normal
221,7473,normal
301,1380,normal
0,0,normal
0,0,anomaly
43,81,normal
842,334,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
44,44,normal
0,0,anomaly
0,0,anomaly
236,667,normal
54540,8314,anomaly
46,139,normal
1,0,anomaly
54540,8314,anomaly
0,0,anomaly
105,146,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
215,337,normal
293,296,normal
0,0,anomaly
250,2196,normal
296,1518,normal
0,0,anomaly
2056,0,normal
333,1326,normal
231,2507,normal
310,362,normal
0,0,anomaly
289,658,normal
242,2281,normal
0,0,anomaly
44,127,normal
0,0,anomaly
45,131,normal
0,0,anomaly
337,1669,normal
35,0,normal
226,1964,normal
0,15,normal
0,0,anomaly
373,0,normal
0,0,normal
185,4841,normal
0,0,anomaly
104,1608,normal
210,284,normal
8,0,anomaly
343,1063,normal
0,0,anomaly
0,0,anomaly
43,125,normal
43,130,normal
213,632,normal
200,1660,normal
0,0,anomaly
0,0,anomaly
246,2362,normal
255,493,normal
322,272,normal
0,0,anomaly
149,7542,normal
29,29,normal
0,0,anomaly
177,1531,normal
1110,331,normal
0,0,anomaly
0,0,anomaly
300,1146,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
326,276,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
325,788,normal
3731,328,normal
227,2507,normal
8,0,anomaly
0,0,anomaly
0,0,anomaly
212,882,normal
214,1367,normal
0,0,anomaly
1452,322,normal
0,0,anomaly
8,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,anomaly
225,6991,normal
8,0,anomaly
0,0,anomaly
0,0,anomaly
0,0,normal
46,127,normal
208,5604,normal
162,19994,normal
233,6329,normal
105,146,normal
18,0,anomaly
303,15021,normal
230,1380,normal
1013,328,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
234,927,normal
0,0,anomaly
109,408,normal
796,377,normal
223,8584,normal
0,0,anomaly
0,0,anomaly
337,7189,normal
319,2344,normal
0,0,anomaly
0,0,anomaly
326,1511,normal
338,392,normal
312,2288,normal
239,8784,normal
35,0,normal
0,0,anomaly
324,185,normal
0,0,normal
8,0,anomaly
0,0,anomaly
185,4841,normal
312,3966,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
45,133,normal
313,2698,normal
8766,0,normal
192,758,normal
147,105,normal
10272,0,normal
0,0,anomaly
0,0,normal
255,36500,normal
241,1556,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
221,1481,normal
91,0,normal
333,3679,normal
28,0,anomaly
315,2777,normal
222,238,normal
277,11830,normal
44,110,normal
0,0,anomaly
0,0,anomaly
0,0,anomaly
