duration,protocol_type,src_bytes,dst_bytes,count,srv_count,class
0,tcp,0,0,190,20,anomaly
0,tcp,0,0,135,5,anomaly
0,tcp,237,138,2,2,normal
0,tcp,225,1357,1,1,normal
0,tcp,0,0,123,7,anomaly
0,tcp,0,0,245,20,anomaly
0,udp,147,0,3,1,normal
0,tcp,262,1011,3,4,normal
0,icmp,1032,0,263,263,anomaly
0,tcp,0,0,109,13,anomaly
0,tcp,261,8412,9,9,normal
0,tcp,0,0,145,8,anomaly
0,tcp,0,0,250,2,anomaly
0,tcp,294,1719,8,8,normal
0,tcp,221,981,2,3,normal
0,tcp,284,10352,2,2,normal
0,tcp,0,0,1,1,anomaly
0,tcp,309,16096,3,3,normal
0,tcp,334,0,2,2,anomaly
0,tcp,0,0,13,4,anomaly
0,tcp,0,0,87,1,anomaly
0,tcp,214,283,2,2,normal
0,tcp,0,0,292,13,anomaly
0,tcp,0,0,295,18,anomaly
0,tcp,0,0,143,15,anomaly
0,udp,46,78,278,277,normal
0,tcp,748,0,1,1,normal
0,tcp,0,0,102,19,anomaly
0,icmp,8,0,1,46,anomaly
0,tcp,0,0,251,3,anomaly
0,tcp,329,8437,4,4,normal
0,tcp,9,0,2,2,normal
0,udp,46,128,222,302,normal
0,tcp,1766,0,2,2,normal
0,tcp,0,0,260,4,anomaly
9015,tcp,1,0,2,2,anomaly
7,tcp,8,135,1,1,normal
0,tcp,266,529,1,6,normal
0,tcp,245,0,3,2,normal
0,tcp,295,465,11,12,normal
0,tcp,0,0,44,12,anomaly
0,tcp,228,6834,2,7,normal
0,icmp,1032,0,511,511,anomaly
0,tcp,0,0,272,15,anomaly
0,tcp,0,0,122,19,anomaly
0,tcp,0,0,287,3,anomaly
0,tcp,0,0,1,3,normal
0,tcp,0,0,486,1,anomaly
0,udp,1,0,22,6,anomaly
0,tcp,0,0,286,9,anomaly
0,icmp,30,0,1,1,normal
1,tcp,2078,333,1,2,normal
0,tcp,19,0,1,1,normal
0,tcp,661,329,1,1,normal
0,udp,28,0,35,34,anomaly
0,tcp,0,0,28,2,anomaly
0,tcp,0,0,108,18,anomaly
0,tcp,0,0,101,5,anomaly
0,tcp,1075,364,1,2,normal
0,tcp,223,656,12,21,normal
15159,tcp,350,1185,1,2,anomaly
0,tcp,233,2470,10,10,normal
0,tcp,0,0,223,10,anomaly
0,tcp,0,0,223,17,anomaly
0,tcp,201,1938,19,34,normal
0,tcp,271,4781,4,7,normal
0,tcp,14416,0,1,1,normal
0,tcp,227,11564,5,6,normal
0,tcp,0,0,406,1,anomaly
0,tcp,225,2445,4,5,normal
0,tcp,176,426,6,6,normal
0,tcp,0,0,143,14,anomaly
0,tcp,227,762,17,17,normal
0,tcp,855,575,1,1,normal
0,tcp,944,330,1,1,normal
0,tcp,954,326,2,1,normal
0,tcp,0,0,201,18,anomaly
0,tcp,166,34660,1,1,normal
0,tcp,306,2698,4,5,normal
0,tcp,0,0,124,19,anomaly
0,tcp,0,0,162,1,anomaly
0,icmp,1480,0,2,4,anomaly
0,tcp,0,0,277,17,anomaly
0,tcp,313,8549,4,4,normal
0,tcp,0,0,274,22,anomaly
0,tcp,0,0,141,12,anomaly
0,tcp,285,6008,3,3,normal
0,tcp,226,1411,8,23,normal
0,tcp,256,12984,1,1,normal
1,tcp,3740,449,1,3,normal
0,tcp,224,449,10,11,normal
0,tcp,0,0,103,3,anomaly
4,tcp,832,0,1,1,anomaly
0,tcp,0,0,246,20,anomaly
0,icmp,8,0,1,50,anomaly
0,tcp,201,169,7,7,normal
0,tcp,285,304,32,34,normal
0,tcp,0,0,125,24,anomaly
0,tcp,7422,0,8,8,normal
0,tcp,198,12884,2,2,normal
20,tcp,2310,328,1,3,normal
0,tcp,331,955,6,6,normal
0,icmp,65,0,9,2,normal
0,udp,28,0,4,4,anomaly
0,udp,45,77,171,173,normal
0,tcp,0,0,250,3,anomaly
0,tcp,0,0,238,7,anomaly
0,tcp,0,0,102,2,anomaly
0,tcp,9,142,1,1,normal
0,tcp,283,912,2,2,normal
0,tcp,221,1789,2,10,normal
0,icmp,18,0,1,1,anomaly
0,tcp,0,0,281,2,anomaly
0,tcp,0,0,30,2,anomaly
0,tcp,0,0,276,8,anomaly
0,tcp,302,1380,5,5,normal
0,tcp,0,0,163,9,anomaly
0,icmp,8,0,1,21,anomaly
0,tcp,0,0,301,20,anomaly
0,tcp,355,870,28,28,normal
0,icmp,8,0,1,23,anomaly
18,tcp,106,1468,1,1,normal
0,tcp,286,1423,16,16,normal
9235,tcp,1,0,2,2,anomaly
0,tcp,0,0,1,1,anomaly
0,icmp,1032,0,46,46,anomaly
0,tcp,168,9551,1,2,normal
0,tcp,238,864,39,39,normal
0,tcp,0,0,1,1,anomaly
0,tcp,291,10369,6,6,normal
0,tcp,0,0,211,22,anomaly
0,tcp,749,330,1,1,normal
0,tcp,198,6924,12,12,normal
0,tcp,0,0,280,11,anomaly
0,tcp,167,709,1,4,normal
0,tcp,241,851,17,35,normal
0,tcp,337,3360,6,6,normal
0,tcp,729,328,1,1,normal
0,icmp,8,0,1,44,anomaly
0,tcp,0,0,201,1,anomaly
0,tcp,222,1483,3,3,normal
0,tcp,0,0,276,14,anomaly
0,tcp,0,0,1,1,normal
0,udp,46,134,145,225,normal
0,tcp,246,2719,1,1,normal
0,tcp,222,771,8,8,normal
0,tcp,0,0,258,10,anomaly
0,tcp,0,0,256,12,anomaly
409,tcp,279,9598,1,1,normal
0,tcp,226,651,12,12,normal
0,tcp,299,447,26,44,normal
0,tcp,0,0,14,6,anomaly
0,tcp,12,0,2,2,normal
0,tcp,281,1951,30,31,normal
0,tcp,0,0,138,25,anomaly
0,udp,42,42,4,6,normal
0,tcp,0,0,300,7,anomaly
0,tcp,0,0,199,9,anomaly
0,tcp,263,453,15,15,normal
36613,tcp,1,0,2,2,anomaly
0,tcp,0,0,1,1,normal
0,tcp,0,0,144,15,anomaly
0,tcp,0,0,104,4,anomaly
0,tcp,283,1980,18,18,normal
0,tcp,161,5530,2,2,normal
0,tcp,211,321,7,11,normal
0,tcp,201,1701,7,7,normal
0,icmp,8,0,1,25,anomaly
0,udp,147,0,3,1,normal
0,tcp,0,0,74,16,anomaly
0,tcp,567,0,1,1,normal
0,tcp,0,0,225,2,anomaly
0,tcp,0,0,66,16,anomaly
5043,tcp,5131424,0,1,7,anomaly
0,tcp,320,420,7,7,normal
0,icmp,8,0,1,35,anomaly
0,tcp,0,0,2,2,normal
0,tcp,204,1229,4,4,normal
0,tcp,0,0,1,1,anomaly
0,tcp,10389,0,1,1,normal
0,tcp,0,0,139,13,anomaly
0,tcp,344,573,28,60,normal
0,tcp,0,0,144,16,anomaly
0,tcp,0,0,241,19,anomaly
0,tcp,243,821,15,19,normal
0,icmp,1032,0,213,213,anomaly
0,icmp,8,0,1,45,anomaly
0,tcp,0,0,36,1,anomaly
0,udp,105,146,3,2,normal
0,tcp,0,0,254,17,anomaly
1,tcp,1080,327,1,2,normal
0,tcp,0,0,295,7,anomaly
0,tcp,0,0,171,3,anomaly
0,tcp,0,0,179,2,anomaly
0,tcp,657,326,2,1,normal
0,tcp,0,0,101,7,anomaly
0,tcp,284,765,9,9,normal
0,tcp,261,15455,22,22,normal
0,tcp,317,315,1,2,normal
0,udp,33,0,8,8,normal
0,tcp,0,0,2,1,anomaly
0,tcp,0,0,1,1,anomaly
0,udp,44,70,195,197,normal
0,tcp,215,584,4,9,normal
0,tcp,0,0,260,9,anomaly
0,tcp,332,2844,14,14,normal
1,tcp,978,334,1,3,normal
0,tcp,296,5670,10,10,normal
0,tcp,0,0,125,13,anomaly
0,tcp,0,0,139,10,anomaly
0,tcp,214,9986,10,11,normal
0,tcp,0,0,251,7,anomaly
0,udp,48,48,1,1,normal
0,tcp,226,1301,5,5,normal
0,tcp,0,0,211,17,anomaly
0,icmp,78,0,20,8,normal
0,tcp,0,0,208,2,anomaly
0,tcp,0,0,1,1,normal
0,tcp,0,0,268,19,anomaly
0,tcp,0,0,1,1,anomaly
0,tcp,0,0,2,1,anomaly
0,tcp,294,3327,1,19,normal
0,tcp,0,0,286,3,anomaly
0,tcp,220,1249,7,7,normal
0,tcp,0,0,425,1,anomaly
0,tcp,196,3282,8,9,normal
0,tcp,0,0,272,30,anomaly
0,tcp,327,4482,4,8,normal
0,tcp,0,0,241,3,anomaly
0,tcp,319,0,2,2,normal
0,tcp,1087,302,1,1,normal
0,tcp,210,3754,18,18,normal
0,tcp,0,0,125,19,anomaly
0,tcp,0,0,1,1,normal
0,tcp,234,6282,6,6,normal
0,icmp,8,0,1,18,anomaly
0,tcp,54540,8314,1,1,anomaly
0,tcp,237,1461,3,3,normal
0,tcp,0,0,42,10,anomaly
0,tcp,0,0,274,10,anomaly
0,tcp,200,955,3,3,normal
0,tcp,219,657,7,9,normal
0,tcp,284,5921,1,1,normal
0,tcp,0,0,196,12,anomaly
0,tcp,325,426,5,5,normal
0,tcp,0,0,111,6,anomaly
0,icmp,30,0,1,1,normal
0,tcp,335,7902,1,8,normal
0,udp,36,0,2,4,normal
0,tcp,0,0,168,3,anomaly
0,udp,43,43,122,188,normal
0,tcp,0,0,108,8,anomaly
0,tcp,0,0,1,1,normal
0,tcp,0,0,36,12,anomaly
0,tcp,0,0,143,19,anomaly
0,tcp,216,1956,1,21,normal
0,tcp,0,0,132,8,anomaly
0,udp,44,78,139,139,normal
0,tcp,347,8113,7,7,normal
1,tcp,570,280,1,1,normal
0,tcp,219,17540,8,8,normal
0,udp,146,0,3,1,normal
0,tcp,0,0,222,1,anomaly
0,tcp,0,0,260,8,anomaly
0,tcp,0,0,237,15,anomaly
0,tcp,0,0,132,15,anomaly
31401,tcp,1,0,2,2,anomaly
0,tcp,0,0,57,11,anomaly
0,icmp,18,0,1,1,anomaly
0,tcp,0,4,1,1,normal
0,tcp,233,581,13,26,normal
0,tcp,0,0,257,19,anomaly
0,tcp,276,0,1,1,normal
0,udp,44,139,77,157,normal
0,icmp,8,0,1,27,anomaly
7805,tcp,1828,148722,1,1,normal
0,tcp,200,764,2,12,normal
0,udp,46,46,11,20,normal
0,tcp,0,0,257,19,anomaly
0,tcp,0,0,13,13,anomaly
0,tcp,216,5284,9,9,normal
0,tcp,0,0,137,9,anomaly
0,tcp,234,997,28,28,normal
0,tcp,220,1643,12,25,normal
0,tcp,0,0,132,3,anomaly
0,udp,105,146,7,1,normal
0,tcp,0,0,1,1,normal
0,tcp,0,0,290,16,anomaly
0,tcp,0,0,203,2,anomaly
0,tcp,0,0,290,8,anomaly
0,tcp,288,2881,14,16,normal
0,tcp,0,0,116,3,anomaly
0,tcp,0,0,260,6,anomaly
0,udp,1,0,12,1,anomaly
0,udp,28,0,21,21,anomaly
0,tcp,279,494,2,2,normal
0,icmp,1032,0,486,486,anomaly
0,tcp,192,0,2,3,normal
7,tcp,105,1401,1,1,normal
0,tcp,0,0,1,1,anomaly
10,tcp,1330,282,1,1,normal
0,icmp,520,0,457,457,anomaly
0,tcp,0,0,47,4,anomaly
0,tcp,230,362,10,18,normal
0,udp,44,110,71,151,normal
0,tcp,271,3582,12,12,normal
0,tcp,179,1668,6,6,normal
0,tcp,852,0,6,6,normal
0,tcp,222,310,5,13,normal
0,tcp,314,4137,7,7,normal
0,tcp,0,0,139,10,anomaly
0,tcp,230,6880,1,17,normal
0,tcp,0,0,200,6,anomaly
0,tcp,0,0,140,1,anomaly
0,tcp,857,327,1,1,normal
0,tcp,234,1707,9,9,normal
0,icmp,1032,0,511,511,anomaly
0,udp,28,0,68,68,anomaly
0,tcp,0,0,132,7,anomaly
0,tcp,215,6367,9,9,normal
0,udp,46,46,215,215,normal
0,udp,105,146,1,1,normal
0,tcp,0,0,115,18,anomaly
0,tcp,0,0,35,16,anomaly
0,tcp,0,0,275,15,anomaly
0,tcp,305,2507,4,4,normal
0,tcp,0,0,76,13,anomaly
0,tcp,336,15767,12,12,normal
0,tcp,0,0,202,2,anomaly
0,tcp,0,0,252,14,anomaly
5784,udp,147,105,1,1,normal
0,tcp,335,1212,3,3,normal
0,tcp,0,0,74,17,anomaly
0,tcp,339,241,1,1,normal
0,tcp,317,3245,4,4,normal
0,tcp,0,0,116,19,anomaly
0,tcp,54540,8314,2,2,anomaly
0,tcp,0,0,197,2,anomaly
0,udp,42,131,80,160,normal
0,tcp,986,368,1,1,normal
0,tcp,0,0,198,4,anomaly
0,icmp,183,0,4,4,normal
0,tcp,0,0,102,3,anomaly
0,tcp,405,23786,1,1,normal
0,tcp,0,0,223,21,anomaly
0,tcp,785,327,1,1,normal
0,tcp,258,4302,1,1,normal
0,tcp,0,0,138,6,anomaly
0,icmp,8,0,1,28,anomaly
0,tcp,318,2649,5,5,normal
0,tcp,0,0,154,1,anomaly
0,tcp,0,0,204,18,anomaly
0,tcp,0,0,262,4,anomaly
0,tcp,216,1240,8,8,normal
1,tcp,0,0,25,2,anomaly
0,tcp,291,320,3,3,normal
0,tcp,224,546,21,21,normal
0,tcp,0,0,459,5,anomaly
0,tcp,0,0,253,1,anomaly
542,udp,17,42,1,1,normal
0,tcp,0,0,142,15,anomaly
0,udp,29,29,1,3,normal
0,udp,105,147,1,1,normal
0,icmp,30,0,12,1,normal
0,tcp,325,12884,5,9,normal
0,tcp,0,0,139,20,anomaly
0,tcp,0,0,1,1,normal
0,tcp,12,0,1,2,normal
0,tcp,212,828,9,9,normal
0,tcp,240,1475,12,12,normal
0,tcp,292,13206,5,5,normal
0,tcp,172,12793,1,2,normal
0,tcp,0,0,196,9,anomaly
0,tcp,310,788,3,3,normal
0,udp,44,128,4,84,normal
0,udp,145,0,3,1,normal
1,tcp,1238,2451,1,1,anomaly
0,icmp,8,0,1,7,anomaly
0,udp,45,45,167,167,normal
0,tcp,0,0,2,1,anomaly
2,tcp,1551,362,1,2,normal
4,tcp,1308,328,1,1,normal
0,tcp,356,1125,3,3,normal
0,tcp,364,6914,13,13,normal
0,tcp,331,776,10,14,normal
0,icmp,30,0,2,1,normal
0,tcp,0,0,262,7,anomaly
0,tcp,0,0,103,17,anomaly
0,tcp,247,7546,14,14,normal
0,tcp,300,1841,43,43,normal
0,tcp,0,0,221,16,anomaly
0,tcp,355,2109,5,26,normal
0,tcp,0,0,33,14,anomaly
0,tcp,316,1260,3,9,normal
0,udp,44,136,224,300,normal
30,tcp,1458,4152,1,1,normal
0,tcp,0,0,221,14,anomaly
10455,udp,146,105,4,2,normal
0,tcp,0,0,1,1,anomaly
0,tcp,0,0,284,14,anomaly
0,udp,1,0,2,2,anomaly
0,tcp,0,0,150,16,anomaly
0,tcp,0,0,255,9,anomaly
10326,udp,146,105,5,2,normal
0,tcp,0,0,26,2,anomaly
0,tcp,13794,2966,2,2,normal
0,tcp,0,0,74,20,anomaly
0,tcp,911,325,2,1,normal
0,tcp,0,0,7,9,anomaly
0,tcp,280,3332,2,2,normal
0,tcp,0,0,235,4,anomaly
0,tcp,0,0,131,20,anomaly
0,udp,41,41,100,166,normal
0,tcp,10,139,1,1,normal
0,tcp,311,488,11,11,normal
0,tcp,281,1745,2,2,normal
0,tcp,297,1285,8,8,normal
0,tcp,0,0,124,2,anomaly
0,udp,43,72,263,264,normal
0,tcp,0,0,34,15,anomaly
0,tcp,334,0,1,1,anomaly
0,icmp,8,0,1,15,anomaly
0,tcp,215,9399,16,23,normal
0,tcp,0,0,16,3,anomaly
0,tcp,0,0,1,2,normal
0,udp,516,4,151,151,normal
0,tcp,0,0,1,1,anomaly
0,tcp,0,0,115,7,anomaly
0,tcp,0,0,130,10,anomaly
0,tcp,0,0,236,15,anomaly
28,udp,44,44,3,5,normal
0,tcp,0,0,280,16,anomaly
0,tcp,676,328,1,1,normal
0,tcp,334,455,7,9,normal
0,tcp,0,0,268,2,anomaly
0,tcp,0,0,84,18,anomaly
0,tcp,204,1596,24,24,normal
0,icmp,520,0,139,139,anomaly
0,tcp,0,0,211,6,anomaly
0,tcp,192,301,9,9,normal
0,icmp,18,0,1,1,anomaly
0,tcp,0,0,100,2,anomaly
0,tcp,0,0,101,13,anomaly
0,tcp,0,0,265,4,anomaly
0,tcp,256,4486,1,1,normal
0,icmp,64,0,1,1,normal
0,udp,46,136,210,210,normal
0,tcp,0,0,54,17,anomaly
0,tcp,220,253,16,24,normal
0,udp,41,117,43,43,normal
0,tcp,248,2313,23,36,normal
0,tcp,1250,2451,1,1,anomaly
0,tcp,0,0,248,20,anomaly
0,udp,44,70,127,127,normal
202,tcp,209,1824,1,1,normal
0,tcp,5891,0,13,1,normal
0,icmp,8,0,1,39,anomaly
0,tcp,276,1767,2,6,normal
0,tcp,231,2304,13,13,normal
0,tcp,0,0,251,12,anomaly
0,tcp,312,422,11,15,normal
41285,tcp,1,0,2,2,anomaly
0,tcp,0,0,222,18,anomaly
0,udp,29,0,2,2,normal
0,tcp,13239,0,4,4,normal
0,tcp,0,0,228,4,anomaly
0,tcp,8,223,1,1,normal
0,tcp,0,0,129,22,anomaly
0,udp,44,79,255,255,normal
0,tcp,0,0,118,9,anomaly
0,tcp,0,0,84,16,anomaly
0,tcp,324,10647,2,2,normal
0,tcp,0,0,115,4,anomaly
0,icmp,18,0,1,1,anomaly
0,tcp,355,657,16,16,normal
13488,tcp,1,0,2,2,anomaly
0,tcp,0,0,111,10,anomaly
0,tcp,54540,8314,4,4,anomaly
0,tcp,205,253,11,11,normal
0,tcp,0,0,241,12,anomaly
0,tcp,325,753,7,9,normal
0,tcp,0,0,242,1,anomaly
0,tcp,232,193,1,1,normal
4,tcp,886,326,1,1,normal
0,tcp,319,3432,9,9,normal
0,tcp,0,0,101,6,anomaly
0,tcp,0,0,1,1,anomaly
0,tcp,147,12141,12,12,normal
1,tcp,1451,330,1,2,normal
0,tcp,54540,8314,3,3,anomaly
0,tcp,235,1889,1,19,normal
25,tcp,0,0,1,1,anomaly
0,tcp,0,0,320,1,anomaly
0,tcp,299,1540,17,29,normal
0,tcp,0,0,114,8,anomaly
0,tcp,0,0,136,23,anomaly
0,tcp,0,0,272,4,anomaly
0,tcp,0,0,209,8,anomaly
0,tcp,237,241,66,66,normal
0,tcp,0,0,110,16,anomaly
3047,udp,146,105,1,1,normal
0,tcp,0,0,2,1,anomaly
1327,udp,146,105,3,1,normal
0,tcp,202,1923,16,17,normal
0,tcp,0,0,268,5,anomaly
0,tcp,383,0,3,2,normal
0,tcp,345,2254,4,4,normal
0,tcp,278,6546,7,7,normal
0,tcp,0,0,292,14,anomaly
0,tcp,196,16143,5,33,normal
0,tcp,0,0,2,2,anomaly
0,tcp,277,2253,17,17,normal
0,tcp,203,578,19,19,normal
0,tcp,0,0,1,1,anomaly
860,udp,147,105,1,1,normal
0,tcp,0,0,297,15,anomaly
0,tcp,0,0,150,1,anomaly
0,tcp,0,0,198,6,anomaly
0,tcp,0,0,63,4,anomaly
0,tcp,367,5199,4,4,normal
0,tcp,0,0,199,1,anomaly
0,tcp,257,23051,1,4,normal
0,icmp,8,0,1,41,anomaly
0,udp,44,44,106,105,normal
0,udp,128,44,68,68,normal
0,tcp,254,523,20,20,normal
0,tcp,225,22996,6,39,normal
0,tcp,775,331,1,1,normal
475,tcp,314,266,11,12,normal
0,tcp,0,0,299,9,anomaly
8,tcp,525,335,1,2,normal
0,tcp,0,0,509,1,anomaly
0,udp,1,0,30,8,anomaly
0,tcp,213,37327,3,4,normal
0,tcp,190,8654,4,4,normal
0,tcp,0,0,234,1,anomaly
0,udp,28,0,88,88,anomaly
0,tcp,0,0,244,17,anomaly
27,tcp,1067,3081,1,1,normal
0,udp,126,44,254,253,normal
0,tcp,333,2547,4,4,normal
0,tcp,0,0,237,12,anomaly
0,tcp,4491,0,1,1,normal
0,tcp,0,0,287,15,anomaly
0,tcp,54540,8314,4,4,anomaly
0,tcp,239,255,19,25,normal
0,tcp,0,0,1,1,normal
2,tcp,1258,359,1,1,normal
0,tcp,0,0,11,11,anomaly
0,tcp,0,0,73,3,anomaly
0,tcp,0,0,1,1,normal
0,udp,42,65,104,104,normal
0,tcp,224,1270,6,18,normal
0,tcp,231,3215,1,1,normal
5065,udp,147,105,1,1,normal
0,udp,44,72,256,256,normal
0,icmp,183,0,2,1,normal
0,tcp,0,0,240,6,anomaly
0,tcp,0,0,149,2,anomaly
0,tcp,125,179,1,1,anomaly
0,tcp,13,40,1,1,normal
0,tcp,233,4759,14,14,normal
0,icmp,30,0,2,1,normal
0,tcp,0,0,92,3,anomaly
0,tcp,278,7958,1,2,normal
0,tcp,0,0,2,1,anomaly
0,tcp,0,0,191,2,anomaly
0,tcp,237,5193,1,48,normal
0,tcp,301,2698,8,9,normal
0,tcp,246,3295,5,6,normal
0,tcp,230,12471,6,7,normal
0,udp,46,82,230,230,normal
1985,udp,147,105,1,1,normal
0,tcp,0,0,12,5,anomaly
0,tcp,641,0,2,2,normal
0,udp,28,0,99,99,anomaly
0,tcp,0,0,150,20,anomaly
0,tcp,82,1,1,1,normal
0,tcp,0,0,226,16,anomaly
0,tcp,0,0,81,1,anomaly
0,tcp,0,0,122,7,anomaly
0,udp,46,80,54,54,normal
0,tcp,0,0,237,8,anomaly
0,tcp,0,0,219,2,anomaly
0,tcp,376,345,1,1,normal
0,tcp,0,0,148,19,anomaly
5,udp,105,146,2,2,normal
0,tcp,334,0,1,1,anomaly
0,tcp,0,0,276,20,anomaly
0,icmp,30,0,4,1,normal
0,tcp,1053,329,1,1,normal
0,udp,46,130,66,146,normal
0,udp,45,119,148,147,normal
1,tcp,1539,395,1,1,normal
0,tcp,0,0,166,4,anomaly
0,tcp,0,0,197,5,anomaly
0,tcp,358,1758,1,1,normal
0,udp,44,133,71,151,normal
0,tcp,282,1227,2,32,normal
0,tcp,323,1509,4,16,normal
0,udp,105,105,1,1,normal
0,tcp,218,358,11,13,normal
0,tcp,0,0,104,2,anomaly
0,tcp,0,0,264,20,anomaly
0,tcp,329,303,10,33,normal
0,tcp,788,328,1,1,normal
0,tcp,311,4591,21,21,normal
0,tcp,0,0,254,22,anomaly
0,tcp,0,0,122,11,anomaly
0,tcp,35,130,1,1,normal
0,icmp,1032,0,511,511,anomaly
0,tcp,0,0,101,1,anomaly
0,tcp,0,0,232,15,anomaly
0,tcp,59,0,16,16,normal
0,tcp,0,0,131,7,anomaly
0,tcp,226,1022,23,24,normal
0,tcp,203,2108,9,15,normal
8,tcp,2544,333,1,1,normal
0,icmp,1032,0,511,511,anomaly
0,tcp,327,6721,4,5,normal
0,tcp,0,0,126,4,anomaly
0,tcp,0,0,263,3,anomaly
0,tcp,0,0,1,1,normal
0,tcp,0,0,127,12,anomaly
0,tcp,0,0,194,18,anomaly
0,tcp,54540,8314,2,2,anomaly
0,tcp,0,0,1,1,anomaly
0,tcp,0,0,266,15,anomaly
0,udp,28,0,27,27,anomaly
0,icmp,8,0,1,36,anomaly
0,tcp,0,0,25,5,anomaly
0,tcp,0,0,100,7,anomaly
1,tcp,763,335,1,1,normal
0,tcp,0,0,240,10,anomaly
0,tcp,307,8339,5,5,normal
0,tcp,0,0,287,17,anomaly
0,tcp,0,0,282,19,anomaly
0,tcp,236,7262,1,8,normal
