protocol_type,src_bytes,dst_bytes,class
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,46,78,normal
tcp,748,0,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,329,8437,normal
tcp,9,0,normal
udp,46,128,normal
tcp,1766,0,normal
tcp,0,0,anomaly
tcp,1,0,anomaly
tcp,8,135,normal
tcp,266,529,normal
tcp,245,0,normal
tcp,295,465,normal
tcp,0,0,anomaly
tcp,228,6834,normal
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
udp,1,0,anomaly
tcp,0,0,anomaly
icmp,30,0,normal
tcp,2078,333,normal
tcp,19,0,normal
tcp,661,329,normal
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,1075,364,normal
tcp,223,656,normal
tcp,350,1185,anomaly
tcp,233,2470,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,201,1938,normal
tcp,271,4781,normal
tcp,14416,0,normal
tcp,227,11564,normal
tcp,0,0,anomaly
tcp,225,2445,normal
tcp,176,426,normal
tcp,0,0,anomaly
tcp,227,762,normal
tcp,855,575,normal
tcp,944,330,normal
tcp,954,326,normal
tcp,0,0,anomaly
tcp,166,34660,normal
tcp,306,2698,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,1480,0,anomaly
tcp,0,0,anomaly
tcp,313,8549,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,285,6008,normal
tcp,226,1411,normal
tcp,256,12984,normal
tcp,3740,449,normal
tcp,224,449,normal
tcp,0,0,anomaly
tcp,832,0,anomaly
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,201,169,normal
tcp,285,304,normal
tcp,0,0,anomaly
tcp,7422,0,normal
tcp,198,12884,normal
tcp,2310,328,normal
tcp,331,955,normal
icmp,65,0,normal
udp,28,0,anomaly
udp,45,77,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,9,142,normal
tcp,283,912,normal
tcp,221,1789,normal
icmp,18,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,302,1380,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,355,870,normal
icmp,8,0,anomaly
tcp,106,1468,normal
tcp,286,1423,normal
tcp,1,0,anomaly
tcp,0,0,anomaly
icmp,1032,0,anomaly
tcp,168,9551,normal
tcp,238,864,normal
tcp,0,0,anomaly
tcp,291,10369,normal
tcp,0,0,anomaly
tcp,749,330,normal
tcp,198,6924,normal
tcp,0,0,anomaly
tcp,167,709,normal
tcp,241,851,normal
tcp,337,3360,normal
tcp,729,328,normal
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,222,1483,normal
tcp,0,0,anomaly
tcp,0,0,normal
udp,46,134,normal
tcp,246,2719,normal
tcp,222,771,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,279,9598,normal
tcp,226,651,normal
tcp,299,447,normal
tcp,0,0,anomaly
tcp,12,0,normal
tcp,281,1951,normal
tcp,0,0,anomaly
udp,42,42,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,263,453,normal
tcp,1,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,283,1980,normal
tcp,161,5530,normal
tcp,211,321,normal
tcp,201,1701,normal
icmp,8,0,anomaly
udp,147,0,normal
tcp,0,0,anomaly
tcp,567,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,5131424,0,anomaly
tcp,320,420,normal
icmp,8,0,anomaly
tcp,0,0,normal
tcp,204,1229,normal
tcp,0,0,anomaly
tcp,10389,0,normal
tcp,0,0,anomaly
tcp,344,573,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,243,821,normal
icmp,1032,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
udp,105,146,normal
tcp,0,0,anomaly
tcp,1080,327,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,657,326,normal
tcp,0,0,anomaly
tcp,284,765,normal
tcp,261,15455,normal
tcp,317,315,normal
udp,33,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,44,70,normal
tcp,215,584,normal
tcp,0,0,anomaly
tcp,332,2844,normal
tcp,978,334,normal
tcp,296,5670,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,214,9986,normal
tcp,0,0,anomaly
udp,48,48,normal
tcp,226,1301,normal
tcp,0,0,anomaly
icmp,78,0,normal
tcp,0,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,294,3327,normal
tcp,0,0,anomaly
tcp,220,1249,normal
tcp,0,0,anomaly
tcp,196,3282,normal
tcp,0,0,anomaly
tcp,327,4482,normal
tcp,0,0,anomaly
tcp,319,0,normal
tcp,1087,302,normal
tcp,210,3754,normal
tcp,0,0,anomaly
tcp,0,0,normal
tcp,234,6282,normal
icmp,8,0,anomaly
tcp,54540,8314,anomaly
tcp,237,1461,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,200,955,normal
tcp,219,657,normal
tcp,284,5921,normal
tcp,0,0,anomaly
tcp,325,426,normal
tcp,0,0,anomaly
icmp,30,0,normal
tcp,335,7902,normal
udp,36,0,normal
tcp,0,0,anomaly
udp,43,43,normal
tcp,0,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,216,1956,normal
tcp,0,0,anomaly
udp,44,78,normal
tcp,347,8113,normal
tcp,570,280,normal
tcp,219,17540,normal
udp,146,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,1,0,anomaly
tcp,0,0,anomaly
icmp,18,0,anomaly
tcp,0,4,normal
tcp,233,581,normal
tcp,0,0,anomaly
tcp,276,0,normal
udp,44,139,normal
icmp,8,0,anomaly
tcp,1828,148722,normal
tcp,200,764,normal
udp,46,46,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,216,5284,normal
tcp,0,0,anomaly
tcp,234,997,normal
tcp,220,1643,normal
tcp,0,0,anomaly
udp,105,146,normal
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,288,2881,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,1,0,anomaly
udp,28,0,anomaly
tcp,279,494,normal
icmp,1032,0,anomaly
tcp,192,0,normal
tcp,105,1401,normal
tcp,0,0,anomaly
tcp,1330,282,normal
icmp,520,0,anomaly
tcp,0,0,anomaly
tcp,230,362,normal
udp,44,110,normal
tcp,271,3582,normal
tcp,179,1668,normal
tcp,852,0,normal
tcp,222,310,normal
tcp,314,4137,normal
tcp,0,0,anomaly
tcp,230,6880,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,857,327,normal
tcp,234,1707,normal
icmp,1032,0,anomaly
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,215,6367,normal
udp,46,46,normal
udp,105,146,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,305,2507,normal
tcp,0,0,anomaly
tcp,336,15767,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,147,105,normal
tcp,335,1212,normal
tcp,0,0,anomaly
tcp,339,241,normal
tcp,317,3245,normal
tcp,0,0,anomaly
tcp,54540,8314,anomaly
tcp,0,0,anomaly
udp,42,131,normal
tcp,986,368,normal
tcp,0,0,anomaly
icmp,183,0,normal
tcp,0,0,anomaly
tcp,405,23786,normal
tcp,0,0,anomaly
tcp,785,327,normal
tcp,258,4302,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,318,2649,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,216,1240,normal
tcp,0,0,anomaly
tcp,291,320,normal
tcp,224,546,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,17,42,normal
tcp,0,0,anomaly
udp,29,29,normal
udp,105,147,normal
icmp,30,0,normal
tcp,325,12884,normal
tcp,0,0,anomaly
tcp,0,0,normal
tcp,12,0,normal
tcp,212,828,normal
tcp,240,1475,normal
tcp,292,13206,normal
tcp,172,12793,normal
tcp,0,0,anomaly
tcp,310,788,normal
udp,44,128,normal
udp,145,0,normal
tcp,1238,2451,anomaly
icmp,8,0,anomaly
udp,45,45,normal
tcp,0,0,anomaly
tcp,1551,362,normal
tcp,1308,328,normal
tcp,356,1125,normal
tcp,364,6914,normal
tcp,331,776,normal
icmp,30,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,247,7546,normal
tcp,300,1841,normal
tcp,0,0,anomaly
tcp,355,2109,normal
tcp,0,0,anomaly
tcp,316,1260,normal
udp,44,136,normal
tcp,1458,4152,normal
tcp,0,0,anomaly
udp,146,105,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,1,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,146,105,normal
tcp,0,0,anomaly
tcp,13794,2966,normal
tcp,0,0,anomaly
tcp,911,325,normal
tcp,0,0,anomaly
tcp,280,3332,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,41,41,normal
tcp,10,139,normal
tcp,311,488,normal
tcp,281,1745,normal
tcp,297,1285,normal
tcp,0,0,anomaly
udp,43,72,normal
tcp,0,0,anomaly
tcp,334,0,anomaly
icmp,8,0,anomaly
tcp,215,9399,normal
tcp,0,0,anomaly
tcp,0,0,normal
udp,516,4,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,44,44,normal
tcp,0,0,anomaly
tcp,676,328,normal
tcp,334,455,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,204,1596,normal
icmp,520,0,anomaly
tcp,0,0,anomaly
tcp,192,301,normal
icmp,18,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,256,4486,normal
icmp,64,0,normal
udp,46,136,normal
tcp,0,0,anomaly
tcp,220,253,normal
udp,41,117,normal
tcp,248,2313,normal
tcp,1250,2451,anomaly
tcp,0,0,anomaly
udp,44,70,normal
tcp,209,1824,normal
tcp,5891,0,normal
icmp,8,0,anomaly
tcp,276,1767,normal
tcp,231,2304,normal
tcp,0,0,anomaly
tcp,312,422,normal
tcp,1,0,anomaly
tcp,0,0,anomaly
udp,29,0,normal
tcp,13239,0,normal
tcp,0,0,anomaly
tcp,8,223,normal
tcp,0,0,anomaly
udp,44,79,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,324,10647,normal
tcp,0,0,anomaly
icmp,18,0,anomaly
tcp,355,657,normal
tcp,1,0,anomaly
tcp,0,0,anomaly
tcp,54540,8314,anomaly
tcp,205,253,normal
tcp,0,0,anomaly
tcp,325,753,normal
tcp,0,0,anomaly
tcp,232,193,normal
tcp,886,326,normal
tcp,319,3432,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,147,12141,normal
tcp,1451,330,normal
tcp,54540,8314,anomaly
tcp,235,1889,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,299,1540,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,237,241,normal
tcp,0,0,anomaly
udp,146,105,normal
tcp,0,0,anomaly
udp,146,105,normal
tcp,202,1923,normal
tcp,0,0,anomaly
tcp,383,0,normal
tcp,345,2254,normal
tcp,278,6546,normal
tcp,0,0,anomaly
tcp,196,16143,normal
tcp,0,0,anomaly
tcp,277,2253,normal
tcp,203,578,normal
tcp,0,0,anomaly
udp,147,105,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,367,5199,normal
tcp,0,0,anomaly
tcp,257,23051,normal
icmp,8,0,anomaly
udp,44,44,normal
udp,128,44,normal
tcp,254,523,normal
tcp,225,22996,normal
tcp,775,331,normal
tcp,314,266,normal
tcp,0,0,anomaly
tcp,525,335,normal
tcp,0,0,anomaly
udp,1,0,anomaly
tcp,213,37327,normal
tcp,190,8654,normal
tcp,0,0,anomaly
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,1067,3081,normal
udp,126,44,normal
tcp,333,2547,normal
tcp,0,0,anomaly
tcp,4491,0,normal
tcp,0,0,anomaly
tcp,54540,8314,anomaly
tcp,239,255,normal
tcp,0,0,normal
tcp,1258,359,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,normal
udp,42,65,normal
tcp,224,1270,normal
tcp,231,3215,normal
udp,147,105,normal
udp,44,72,normal
icmp,183,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,125,179,anomaly
tcp,13,40,normal
tcp,233,4759,normal
icmp,30,0,normal
tcp,0,0,anomaly
tcp,278,7958,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,237,5193,normal
tcp,301,2698,normal
tcp,246,3295,normal
tcp,230,12471,normal
udp,46,82,normal
udp,147,105,normal
tcp,0,0,anomaly
tcp,641,0,normal
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,82,1,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,46,80,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,376,345,normal
tcp,0,0,anomaly
udp,105,146,normal
tcp,334,0,anomaly
tcp,0,0,anomaly
icmp,30,0,normal
tcp,1053,329,normal
udp,46,130,normal
udp,45,119,normal
tcp,1539,395,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,358,1758,normal
udp,44,133,normal
tcp,282,1227,normal
tcp,323,1509,normal
udp,105,105,normal
tcp,218,358,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,329,303,normal
tcp,788,328,normal
tcp,311,4591,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,35,130,normal
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,59,0,normal
tcp,0,0,anomaly
tcp,226,1022,normal
tcp,203,2108,normal
tcp,2544,333,normal
icmp,1032,0,anomaly
tcp,327,6721,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,54540,8314,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,28,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,763,335,normal
tcp,0,0,anomaly
tcp,307,8339,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,236,7262,normal
tcp,246,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,300,13038,normal
tcp,254,390,normal
udp,147,105,normal
tcp,0,0,anomaly
tcp,1,0,anomaly
tcp,334,0,anomaly
tcp,0,0,anomaly
tcp,1221,3380,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,299,291,normal
tcp,1874,0,normal
tcp,1301,335,normal
tcp,1,0,anomaly
udp,43,132,normal
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,330,256,normal
tcp,0,0,anomaly
tcp,302,7497,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,284,307,normal
tcp,0,0,anomaly
tcp,12,0,normal
tcp,238,276,normal
tcp,1194,482,normal
tcp,6601,0,normal
tcp,12,0,normal
tcp,1452,330,normal
tcp,2194619,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,240,748,normal
tcp,0,0,anomaly
udp,42,42,normal
tcp,0,0,anomaly
tcp,336,1294,normal
tcp,11436,1383,normal
tcp,0,0,anomaly
tcp,195,4768,normal
udp,516,4,normal
tcp,286,3491,normal
tcp,0,0,anomaly
tcp,215,1062,normal
tcp,196,1337,normal
tcp,722,334,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,214,3477,normal
tcp,0,0,anomaly
tcp,232,2140,normal
tcp,224,1783,normal
icmp,8,0,anomaly
tcp,192,0,normal
tcp,294,478,normal
tcp,0,0,anomaly
tcp,213,259,normal
tcp,0,0,anomaly
udp,105,146,normal
tcp,0,0,anomaly
tcp,303,458,normal
tcp,0,0,anomaly
udp,44,126,normal
udp,73,45,normal
tcp,197,2276,normal
tcp,0,0,anomaly
tcp,242,6725,normal
tcp,0,0,anomaly
tcp,308,607,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,291,868,normal
tcp,0,0,anomaly
tcp,2697,331,normal
udp,1,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,200,3042,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,8,224,normal
icmp,1032,0,anomaly
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,341,281,normal
tcp,8,493,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,1483,363,normal
udp,46,128,normal
tcp,2426,2737,normal
udp,36,0,normal
tcp,210,1425,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,170,13603,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,269,8921,normal
tcp,315,347,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,216,7384,normal
tcp,0,0,normal
tcp,0,0,anomaly
tcp,235,12623,normal
tcp,667,332,normal
tcp,1160,333,normal
icmp,8,0,anomaly
tcp,1299,329,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,711,336,normal
icmp,1032,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,42,42,normal
tcp,0,0,anomaly
udp,147,0,normal
tcp,0,0,normal
tcp,0,0,anomaly
tcp,222,5834,normal
tcp,0,0,anomaly
tcp,198,1427,normal
tcp,0,0,anomaly
icmp,520,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,217,1035,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,252,2795,normal
tcp,200,940,normal
tcp,0,0,anomaly
tcp,243,663,normal
tcp,0,0,anomaly
tcp,0,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,209,2408,normal
tcp,215,11680,normal
tcp,0,0,anomaly
udp,31,0,normal
tcp,338,275,normal
tcp,249,27998,normal
tcp,232,5745,normal
tcp,260,283,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,2168,402,normal
tcp,373,0,normal
tcp,347,1417,normal
tcp,354,1875,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,305,2698,normal
tcp,0,0,anomaly
udp,105,147,normal
tcp,221,602,normal
tcp,887,436,normal
tcp,695,328,normal
icmp,520,0,anomaly
tcp,495,0,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,2760,370,normal
udp,45,83,normal
tcp,756,332,normal
tcp,0,0,anomaly
tcp,218,6776,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,7196,0,normal
udp,46,134,normal
tcp,12,0,normal
udp,45,130,normal
udp,43,71,normal
icmp,520,0,anomaly
tcp,206,12642,normal
icmp,1032,0,anomaly
tcp,2634,8611,normal
tcp,334,10686,normal
tcp,4539,0,normal
tcp,320,520,normal
icmp,30,0,normal
tcp,0,0,normal
tcp,281,759,normal
tcp,345,3938,normal
tcp,0,0,anomaly
tcp,223,408,normal
tcp,0,0,anomaly
tcp,0,0,normal
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,204,260,normal
tcp,0,0,anomaly
tcp,1,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,676,23920,normal
tcp,209,3556,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,229,934,normal
tcp,0,0,anomaly
udp,516,4,normal
tcp,344,1247,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,277,1224,normal
tcp,325,3941,normal
tcp,0,0,anomaly
tcp,1277,328,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,219,183,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,41,71,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,326,420,normal
tcp,0,0,anomaly
icmp,1032,0,anomaly
tcp,0,0,anomaly
tcp,334,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,229,301,normal
tcp,205,6622,normal
tcp,0,0,anomaly
tcp,319,583,normal
tcp,0,0,anomaly
tcp,304,1380,normal
tcp,9,317,normal
tcp,0,0,anomaly
tcp,356,1137,normal
tcp,0,0,anomaly
udp,44,73,normal
tcp,0,0,anomaly
tcp,299,12471,normal
tcp,381709090,0,anomaly
tcp,6,123,anomaly
tcp,0,15,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,366,4084,normal
tcp,0,0,normal
tcp,0,0,anomaly
tcp,2194619,0,normal
udp,145,105,normal
udp,146,105,normal
tcp,0,0,anomaly
udp,45,45,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,236,357,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,258,11380,normal
tcp,0,0,anomaly
tcp,188,13450,normal
tcp,0,0,anomaly
tcp,1195,2449,anomaly
tcp,992,329,normal
tcp,0,0,anomaly
tcp,310,255,normal
tcp,2597,331,normal
tcp,0,0,anomaly
tcp,251,1981,normal
tcp,0,0,anomaly
tcp,748,0,normal
tcp,158,38643,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,0,0,anomaly
tcp,229,682,normal
icmp,8,0,anomaly
tcp,10044,0,normal
tcp,123,234,normal
tcp,0,0,anomaly
tcp,276,108545,normal
tcp,0,0,anomaly
tcp,319,4143,normal
tcp,280,16574,normal
tcp,0,0,anomaly
udp,42,42,normal
icmp,8,0,anomaly
tcp,2838,325,normal
tcp,463,12604,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
udp,45,134,normal
icmp,8,0,anomaly
tcp,0,4,normal
tcp,0,0,anomaly
udp,28,0,anomaly
tcp,0,0,anomaly
tcp,294,3808,normal
udp,146,105,normal
udp,31,91,normal
udp,29,29,normal
tcp,0,0,anomaly
tcp,1131,326,normal
tcp,217,2887,normal
tcp,1329,330,normal
udp,44,145,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,224,6874,normal
tcp,290,1704,normal
tcp,242,16819,normal
tcp,197,7204,normal
icmp,1032,0,anomaly
tcp,318,9696,normal
tcp,0,0,anomaly
tcp,234,2659,normal
icmp,1032,0,anomaly
tcp,1492,336,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,normal
tcp,303,6833,normal
tcp,262,3819,normal
tcp,0,0,anomaly
tcp,334,0,anomaly
tcp,258,12037,normal
udp,215,0,anomaly
tcp,246,1600,normal
tcp,312,3222,normal
tcp,201,0,normal
tcp,222,2446,normal
tcp,290,2107,normal
tcp,11376,0,normal
tcp,0,0,anomaly
tcp,306,3222,normal
tcp,308,608,normal
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,0,0,anomaly
tcp,199,749,normal
tcp,0,0,anomaly
icmp,8,0,anomaly
tcp,1,0,anomaly
tcp,0,0,anomaly
icmp,564,0,anomaly
tcp,0,0,anomaly
tcp,280,9544,normal
tcp,0,0,anomaly
tcp,186,15495,normal
