protocol_type,src_bytes,dst_bytes,count,class
tcp,336,15767,12,normal
tcp,0,0,202,anomaly
tcp,0,0,252,anomaly
udp,147,105,1,normal
tcp,335,1212,3,normal
tcp,0,0,74,anomaly
tcp,339,241,1,normal
tcp,317,3245,4,normal
tcp,0,0,116,anomaly
tcp,54540,8314,2,anomaly
tcp,0,0,197,anomaly
udp,42,131,80,normal
tcp,986,368,1,normal
tcp,0,0,198,anomaly
icmp,183,0,4,normal
tcp,0,0,102,anomaly
tcp,405,23786,1,normal
tcp,0,0,223,anomaly
tcp,785,327,1,normal
tcp,258,4302,1,normal
tcp,0,0,138,anomaly
icmp,8,0,1,anomaly
tcp,318,2649,5,normal
tcp,0,0,154,anomaly
tcp,0,0,204,anomaly
tcp,0,0,262,anomaly
tcp,216,1240,8,normal
tcp,0,0,25,anomaly
tcp,291,320,3,normal
tcp,224,546,21,normal
tcp,0,0,459,anomaly
tcp,0,0,253,anomaly
udp,17,42,1,normal
tcp,0,0,142,anomaly
udp,29,29,1,normal
udp,105,147,1,normal
icmp,30,0,12,normal
tcp,325,12884,5,normal
tcp,0,0,139,anomaly
tcp,0,0,1,normal
tcp,12,0,1,normal
tcp,212,828,9,normal
tcp,240,1475,12,normal
tcp,292,13206,5,normal
tcp,172,12793,1,normal
tcp,0,0,196,anomaly
tcp,310,788,3,normal
udp,44,128,4,normal
udp,145,0,3,normal
tcp,1238,2451,1,anomaly
icmp,8,0,1,anomaly
udp,45,45,167,normal
tcp,0,0,2,anomaly
tcp,1551,362,1,normal
tcp,1308,328,1,normal
tcp,356,1125,3,normal
tcp,364,6914,13,normal
tcp,331,776,10,normal
icmp,30,0,2,normal
tcp,0,0,262,anomaly
tcp,0,0,103,anomaly
tcp,247,7546,14,normal
tcp,300,1841,43,normal
tcp,0,0,221,anomaly
tcp,355,2109,5,normal
tcp,0,0,33,anomaly
tcp,316,1260,3,normal
udp,44,136,224,normal
tcp,1458,4152,1,normal
tcp,0,0,221,anomaly
udp,146,105,4,normal
tcp,0,0,1,anomaly
tcp,0,0,284,anomaly
udp,1,0,2,anomaly
tcp,0,0,150,anomaly
tcp,0,0,255,anomaly
udp,146,105,5,normal
tcp,0,0,26,anomaly
tcp,13794,2966,2,normal
tcp,0,0,74,anomaly
tcp,911,325,2,normal
tcp,0,0,7,anomaly
tcp,280,3332,2,normal
tcp,0,0,235,anomaly
tcp,0,0,131,anomaly
udp,41,41,100,normal
tcp,10,139,1,normal
tcp,311,488,11,normal
tcp,281,1745,2,normal
tcp,297,1285,8,normal
tcp,0,0,124,anomaly
udp,43,72,263,normal
tcp,0,0,34,anomaly
tcp,334,0,1,anomaly
icmp,8,0,1,anomaly
tcp,215,9399,16,normal
tcp,0,0,16,anomaly
tcp,0,0,1,normal
udp,516,4,151,normal
tcp,0,0,1,anomaly
tcp,0,0,115,anomaly
tcp,0,0,130,anomaly
tcp,0,0,236,anomaly
udp,44,44,3,normal
tcp,0,0,280,anomaly
tcp,676,328,1,normal
tcp,334,455,7,normal
tcp,0,0,268,anomaly
tcp,0,0,84,anomaly
tcp,204,1596,24,normal
icmp,520,0,139,anomaly
tcp,0,0,211,anomaly
tcp,192,301,9,normal
icmp,18,0,1,anomaly
tcp,0,0,100,anomaly
tcp,0,0,101,anomaly
tcp,0,0,265,anomaly
tcp,256,4486,1,normal
icmp,64,0,1,normal
udp,46,136,210,normal
tcp,0,0,54,anomaly
tcp,220,253,16,normal
udp,41,117,43,normal
tcp,248,2313,23,normal
tcp,1250,2451,1,anomaly
tcp,0,0,248,anomaly
udp,44,70,127,normal
tcp,209,1824,1,normal
tcp,5891,0,13,normal
icmp,8,0,1,anomaly
tcp,276,1767,2,normal
tcp,231,2304,13,normal
tcp,0,0,251,anomaly
tcp,312,422,11,normal
tcp,1,0,2,anomaly
tcp,0,0,222,anomaly
udp,29,0,2,normal
tcp,13239,0,4,normal
tcp,0,0,228,anomaly
tcp,8,223,1,normal
tcp,0,0,129,anomaly
udp,44,79,255,normal
tcp,0,0,118,anomaly
tcp,0,0,84,anomaly
tcp,324,10647,2,normal
tcp,0,0,115,anomaly
icmp,18,0,1,anomaly
tcp,355,657,16,normal
tcp,1,0,2,anomaly
tcp,0,0,111,anomaly
tcp,54540,8314,4,anomaly
tcp,205,253,11,normal
tcp,0,0,241,anomaly
tcp,325,753,7,normal
tcp,0,0,242,anomaly
tcp,232,193,1,normal
tcp,886,326,1,normal
tcp,319,3432,9,normal
tcp,0,0,101,anomaly
tcp,0,0,1,anomaly
tcp,147,12141,12,normal
tcp,1451,330,1,normal
tcp,54540,8314,3,anomaly
tcp,235,1889,1,normal
tcp,0,0,1,anomaly
tcp,0,0,320,anomaly
tcp,299,1540,17,normal
tcp,0,0,114,anomaly
tcp,0,0,136,anomaly
tcp,0,0,272,anomaly
tcp,0,0,209,anomaly
tcp,237,241,66,normal
tcp,0,0,110,anomaly
udp,146,105,1,normal
tcp,0,0,2,anomaly
udp,146,105,3,normal
tcp,202,1923,16,normal
tcp,0,0,268,anomaly
tcp,383,0,3,normal
tcp,345,2254,4,normal
tcp,278,6546,7,normal
tcp,0,0,292,anomaly
tcp,196,16143,5,normal
tcp,0,0,2,anomaly
tcp,277,2253,17,normal
tcp,203,578,19,normal
tcp,0,0,1,anomaly
udp,147,105,1,normal
tcp,0,0,297,anomaly
tcp,0,0,150,anomaly
tcp,0,0,198,anomaly
tcp,0,0,63,anomaly
tcp,367,5199,4,normal
tcp,0,0,199,anomaly
tcp,257,23051,1,normal
icmp,8,0,1,anomaly
udp,44,44,106,normal
udp,128,44,68,normal
tcp,254,523,20,normal
tcp,225,22996,6,normal
tcp,775,331,1,normal
tcp,314,266,11,normal
tcp,0,0,299,anomaly
tcp,525,335,1,normal
tcp,0,0,509,anomaly
udp,1,0,30,anomaly
tcp,213,37327,3,normal
tcp,190,8654,4,normal
tcp,0,0,234,anomaly
udp,28,0,88,anomaly
tcp,0,0,244,anomaly
tcp,1067,3081,1,normal
udp,126,44,254,normal
tcp,333,2547,4,normal
tcp,0,0,237,anomaly
tcp,4491,0,1,normal
tcp,0,0,287,anomaly
tcp,54540,8314,4,anomaly
tcp,239,255,19,normal
tcp,0,0,1,normal
tcp,1258,359,1,normal
tcp,0,0,11,anomaly
tcp,0,0,73,anomaly
tcp,0,0,1,normal
udp,42,65,104,normal
tcp,224,1270,6,normal
tcp,231,3215,1,normal
udp,147,105,1,normal
udp,44,72,256,normal
icmp,183,0,2,normal
tcp,0,0,240,anomaly
tcp,0,0,149,anomaly
tcp,125,179,1,anomaly
tcp,13,40,1,normal
tcp,233,4759,14,normal
icmp,30,0,2,normal
tcp,0,0,92,anomaly
tcp,278,7958,1,normal
tcp,0,0,2,anomaly
tcp,0,0,191,anomaly
tcp,237,5193,1,normal
tcp,301,2698,8,normal
tcp,246,3295,5,normal
tcp,230,12471,6,normal
udp,46,82,230,normal
udp,147,105,1,normal
tcp,0,0,12,anomaly
tcp,641,0,2,normal
udp,28,0,99,anomaly
tcp,0,0,150,anomaly
tcp,82,1,1,normal
tcp,0,0,226,anomaly
tcp,0,0,81,anomaly
tcp,0,0,122,anomaly
udp,46,80,54,normal
tcp,0,0,237,anomaly
tcp,0,0,219,anomaly
tcp,376,345,1,normal
tcp,0,0,148,anomaly
udp,105,146,2,normal
tcp,334,0,1,anomaly
tcp,0,0,276,anomaly
icmp,30,0,4,normal
tcp,1053,329,1,normal
udp,46,130,66,normal
udp,45,119,148,normal
tcp,1539,395,1,normal
tcp,0,0,166,anomaly
tcp,0,0,197,anomaly
tcp,358,1758,1,normal
udp,44,133,71,normal
tcp,282,1227,2,normal
tcp,323,1509,4,normal
udp,105,105,1,normal
tcp,218,358,11,normal
tcp,0,0,104,anomaly
tcp,0,0,264,anomaly
tcp,329,303,10,normal
tcp,788,328,1,normal
tcp,311,4591,21,normal
tcp,0,0,254,anomaly
tcp,0,0,122,anomaly
tcp,35,130,1,normal
icmp,1032,0,511,anomaly
tcp,0,0,101,anomaly
tcp,0,0,232,anomaly
tcp,59,0,16,normal
tcp,0,0,131,anomaly
tcp,226,1022,23,normal
tcp,203,2108,9,normal
tcp,2544,333,1,normal
icmp,1032,0,511,anomaly
tcp,327,6721,4,normal
tcp,0,0,126,anomaly
tcp,0,0,263,anomaly
tcp,0,0,1,normal
tcp,0,0,127,anomaly
tcp,0,0,194,anomaly
tcp,54540,8314,2,anomaly
tcp,0,0,1,anomaly
tcp,0,0,266,anomaly
udp,28,0,27,anomaly
icmp,8,0,1,anomaly
tcp,0,0,25,anomaly
tcp,0,0,100,anomaly
tcp,763,335,1,normal
tcp,0,0,240,anomaly
tcp,307,8339,5,normal
tcp,0,0,287,anomaly
tcp,0,0,282,anomaly
tcp,236,7262,1,normal
tcp,246,0,1,anomaly
tcp,0,0,129,anomaly
tcp,0,0,244,anomaly
tcp,0,0,279,anomaly
tcp,300,13038,1,normal
tcp,254,390,13,normal
udp,147,105,1,normal
tcp,0,0,134,anomaly
tcp,1,0,2,anomaly
tcp,334,0,2,anomaly
tcp,0,0,65,anomaly
tcp,1221,3380,1,normal
tcp,0,0,269,anomaly
icmp,8,0,1,anomaly
tcp,299,291,2,normal
tcp,1874,0,9,normal
tcp,1301,335,1,normal
tcp,1,0,2,anomaly
udp,43,132,216,normal
icmp,1032,0,322,anomaly
tcp,0,0,31,anomaly
tcp,330,256,4,normal
tcp,0,0,271,anomaly
tcp,302,7497,26,normal
tcp,0,0,140,anomaly
tcp,0,0,180,anomaly
tcp,0,0,278,anomaly
tcp,0,0,45,anomaly
tcp,0,0,6,anomaly
tcp,284,307,2,normal
tcp,0,0,279,anomaly
tcp,12,0,1,normal
tcp,238,276,13,normal
tcp,1194,482,1,normal
tcp,6601,0,21,normal
tcp,12,0,1,normal
tcp,1452,330,1,normal
tcp,2194619,0,2,normal
tcp,0,0,111,anomaly
tcp,0,0,366,anomaly
tcp,0,0,145,anomaly
tcp,240,748,9,normal
tcp,0,0,231,anomaly
udp,42,42,8,normal
tcp,0,0,130,anomaly
tcp,336,1294,21,normal
tcp,11436,1383,1,normal
tcp,0,0,23,anomaly
tcp,195,4768,2,normal
udp,516,4,191,normal
tcp,286,3491,10,normal
tcp,0,0,214,anomaly
tcp,215,1062,6,normal
tcp,196,1337,35,normal
tcp,722,334,1,normal
tcp,0,0,2,anomaly
tcp,0,0,244,anomaly
tcp,214,3477,2,normal
tcp,0,0,257,anomaly
tcp,232,2140,12,normal
tcp,224,1783,2,normal
icmp,8,0,1,anomaly
tcp,192,0,2,normal
tcp,294,478,23,normal
tcp,0,0,78,anomaly
tcp,213,259,7,normal
tcp,0,0,234,anomaly
udp,105,146,2,normal
tcp,0,0,116,anomaly
tcp,303,458,1,normal
tcp,0,0,106,anomaly
udp,44,126,74,normal
udp,73,45,2,normal
tcp,197,2276,2,normal
tcp,0,0,1,anomaly
tcp,242,6725,1,normal
tcp,0,0,256,anomaly
tcp,308,607,8,normal
tcp,0,0,286,anomaly
tcp,0,0,233,anomaly
tcp,291,868,23,normal
tcp,0,0,29,anomaly
tcp,2697,331,1,normal
udp,1,0,17,anomaly
tcp,0,0,108,anomaly
tcp,0,0,102,anomaly
tcp,200,3042,10,normal
tcp,0,0,229,anomaly
tcp,0,0,239,anomaly
tcp,8,224,1,normal
icmp,1032,0,511,anomaly
udp,28,0,18,anomaly
tcp,0,0,258,anomaly
tcp,341,281,4,normal
tcp,8,493,1,normal
tcp,0,0,105,anomaly
tcp,0,0,145,anomaly
tcp,1483,363,1,normal
udp,46,128,19,normal
tcp,2426,2737,10,normal
udp,36,0,1,normal
tcp,210,1425,10,normal
tcp,0,0,123,anomaly
tcp,0,0,9,anomaly
tcp,170,13603,1,normal
tcp,0,0,45,anomaly
icmp,8,0,1,anomaly
tcp,0,0,265,anomaly
tcp,0,0,255,anomaly
tcp,0,0,104,anomaly
tcp,0,0,150,anomaly
tcp,269,8921,2,normal
tcp,315,347,31,normal
tcp,0,0,232,anomaly
tcp,0,0,217,anomaly
tcp,0,0,66,anomaly
tcp,0,0,1,anomaly
tcp,216,7384,16,normal
tcp,0,0,1,normal
tcp,0,0,1,anomaly
tcp,235,12623,4,normal
tcp,667,332,1,normal
tcp,1160,333,1,normal
icmp,8,0,1,anomaly
tcp,1299,329,1,normal
tcp,0,0,195,anomaly
tcp,0,0,232,anomaly
tcp,711,336,1,normal
icmp,1032,0,65,anomaly
icmp,8,0,1,anomaly
tcp,0,0,1,anomaly
tcp,0,0,120,anomaly
tcp,0,0,204,anomaly
udp,42,42,8,normal
tcp,0,0,63,anomaly
udp,147,0,1,normal
tcp,0,0,1,normal
tcp,0,0,262,anomaly
tcp,222,5834,3,normal
tcp,0,0,146,anomaly
tcp,198,1427,20,normal
tcp,0,0,2,anomaly
icmp,520,0,261,anomaly
tcp,0,0,242,anomaly
tcp,0,0,213,anomaly
tcp,0,0,50,anomaly
icmp,8,0,1,anomaly
tcp,0,0,170,anomaly
tcp,0,0,252,anomaly
tcp,0,0,126,anomaly
tcp,217,1035,34,normal
tcp,0,0,269,anomaly
icmp,8,0,1,anomaly
tcp,252,2795,5,normal
tcp,200,940,6,normal
tcp,0,0,61,anomaly
tcp,243,663,13,normal
tcp,0,0,281,anomaly
tcp,0,0,1,normal
tcp,0,0,240,anomaly
tcp,0,0,260,anomaly
tcp,0,0,275,anomaly
tcp,0,0,116,anomaly
tcp,0,0,164,anomaly
tcp,209,2408,3,normal
tcp,215,11680,1,normal
tcp,0,0,194,anomaly
udp,31,0,1,normal
tcp,338,275,13,normal
tcp,249,27998,1,normal
tcp,232,5745,8,normal
tcp,260,283,8,normal
tcp,0,0,121,anomaly
tcp,0,0,220,anomaly
tcp,2168,402,1,normal
tcp,373,0,8,normal
tcp,347,1417,23,normal
tcp,354,1875,3,normal
tcp,0,0,29,anomaly
tcp,0,0,229,anomaly
tcp,0,0,118,anomaly
tcp,0,0,240,anomaly
tcp,305,2698,3,normal
tcp,0,0,18,anomaly
udp,105,147,8,normal
tcp,221,602,51,normal
tcp,887,436,1,normal
tcp,695,328,1,normal
icmp,520,0,434,anomaly
tcp,495,0,1,normal
tcp,0,0,144,anomaly
tcp,0,0,258,anomaly
tcp,2760,370,1,normal
udp,45,83,154,normal
tcp,756,332,1,normal
tcp,0,0,511,anomaly
tcp,218,6776,11,normal
tcp,0,0,111,anomaly
tcp,0,0,228,anomaly
tcp,0,0,282,anomaly
tcp,7196,0,9,normal
udp,46,134,307,normal
tcp,12,0,1,normal
udp,45,130,43,normal
udp,43,71,202,normal
icmp,520,0,282,anomaly
tcp,206,12642,4,normal
icmp,1032,0,250,anomaly
tcp,2634,8611,1,normal
tcp,334,10686,1,normal
tcp,4539,0,20,normal
tcp,320,520,23,normal
icmp,30,0,2,normal
tcp,0,0,1,normal
tcp,281,759,3,normal
tcp,345,3938,10,normal
tcp,0,0,75,anomaly
tcp,223,408,6,normal
tcp,0,0,262,anomaly
