dst_bytes,class
0,anomaly
0,anomaly
0,anomaly
4,normal
581,normal
0,anomaly
0,normal
139,normal
0,anomaly
148722,normal
764,normal
46,normal
0,anomaly
0,anomaly
5284,normal
0,anomaly
997,normal
1643,normal
0,anomaly
146,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
2881,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
494,normal
0,anomaly
0,normal
1401,normal
0,anomaly
282,normal
0,anomaly
0,anomaly
362,normal
110,normal
3582,normal
1668,normal
0,normal
310,normal
4137,normal
0,anomaly
6880,normal
0,anomaly
0,anomaly
327,normal
1707,normal
0,anomaly
0,anomaly
0,anomaly
6367,normal
46,normal
146,normal
0,anomaly
0,anomaly
0,anomaly
2507,normal
0,anomaly
15767,normal
0,anomaly
0,anomaly
105,normal
1212,normal
0,anomaly
241,normal
3245,normal
0,anomaly
8314,anomaly
0,anomaly
131,normal
368,normal
0,anomaly
0,normal
0,anomaly
23786,normal
0,anomaly
327,normal
4302,normal
0,anomaly
0,anomaly
2649,normal
0,anomaly
0,anomaly
0,anomaly
1240,normal
0,anomaly
320,normal
546,normal
0,anomaly
0,anomaly
42,normal
0,anomaly
29,normal
147,normal
0,normal
12884,normal
0,anomaly
0,normal
0,normal
828,normal
1475,normal
13206,normal
12793,normal
0,anomaly
788,normal
128,normal
0,normal
2451,anomaly
0,anomaly
45,normal
0,anomaly
362,normal
328,normal
1125,normal
6914,normal
776,normal
0,normal
0,anomaly
0,anomaly
7546,normal
1841,normal
0,anomaly
2109,normal
0,anomaly
1260,normal
136,normal
4152,normal
0,anomaly
105,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
105,normal
0,anomaly
2966,normal
0,anomaly
325,normal
0,anomaly
3332,normal
0,anomaly
0,anomaly
41,normal
139,normal
488,normal
1745,normal
1285,normal
0,anomaly
72,normal
0,anomaly
0,anomaly
0,anomaly
9399,normal
0,anomaly
0,normal
4,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
44,normal
0,anomaly
328,normal
455,normal
0,anomaly
0,anomaly
1596,normal
0,anomaly
0,anomaly
301,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
4486,normal
0,normal
136,normal
0,anomaly
253,normal
117,normal
2313,normal
2451,anomaly
0,anomaly
70,normal
1824,normal
0,normal
0,anomaly
1767,normal
2304,normal
0,anomaly
422,normal
0,anomaly
0,anomaly
0,normal
0,normal
0,anomaly
223,normal
0,anomaly
79,normal
0,anomaly
0,anomaly
10647,normal
0,anomaly
0,anomaly
657,normal
0,anomaly
0,anomaly
8314,anomaly
253,normal
0,anomaly
753,normal
0,anomaly
193,normal
326,normal
3432,normal
0,anomaly
0,anomaly
12141,normal
330,normal
8314,anomaly
1889,normal
0,anomaly
0,anomaly
1540,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
241,normal
0,anomaly
105,normal
0,anomaly
105,normal
1923,normal
0,anomaly
0,normal
2254,normal
6546,normal
0,anomaly
16143,normal
0,anomaly
2253,normal
578,normal
0,anomaly
105,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
5199,normal
0,anomaly
23051,normal
0,anomaly
44,normal
44,normal
523,normal
22996,normal
331,normal
266,normal
0,anomaly
335,normal
0,anomaly
0,anomaly
37327,normal
8654,normal
0,anomaly
0,anomaly
0,anomaly
3081,normal
44,normal
2547,normal
0,anomaly
0,normal
0,anomaly
8314,anomaly
255,normal
0,normal
359,normal
0,anomaly
0,anomaly
0,normal
65,normal
1270,normal
3215,normal
105,normal
72,normal
0,normal
0,anomaly
0,anomaly
179,anomaly
40,normal
4759,normal
0,normal
0,anomaly
7958,normal
0,anomaly
0,anomaly
5193,normal
2698,normal
3295,normal
12471,normal
82,normal
105,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
1,normal
0,anomaly
0,anomaly
0,anomaly
80,normal
0,anomaly
0,anomaly
345,normal
0,anomaly
146,normal
0,anomaly
0,anomaly
0,normal
329,normal
130,normal
119,normal
395,normal
0,anomaly
0,anomaly
1758,normal
133,normal
1227,normal
1509,normal
105,normal
358,normal
0,anomaly
0,anomaly
303,normal
328,normal
4591,normal
0,anomaly
0,anomaly
130,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
1022,normal
2108,normal
333,normal
0,anomaly
6721,normal
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
8314,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
335,normal
0,anomaly
8339,normal
0,anomaly
0,anomaly
7262,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
13038,normal
390,normal
105,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
3380,normal
0,anomaly
0,anomaly
291,normal
0,normal
335,normal
0,anomaly
132,normal
0,anomaly
0,anomaly
256,normal
0,anomaly
7497,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
307,normal
0,anomaly
0,normal
276,normal
482,normal
0,normal
0,normal
330,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
748,normal
0,anomaly
42,normal
0,anomaly
1294,normal
1383,normal
0,anomaly
4768,normal
4,normal
3491,normal
0,anomaly
1062,normal
1337,normal
334,normal
0,anomaly
0,anomaly
3477,normal
0,anomaly
2140,normal
1783,normal
0,anomaly
0,normal
478,normal
0,anomaly
259,normal
0,anomaly
146,normal
0,anomaly
458,normal
0,anomaly
126,normal
45,normal
2276,normal
0,anomaly
6725,normal
0,anomaly
607,normal
0,anomaly
0,anomaly
868,normal
0,anomaly
331,normal
0,anomaly
0,anomaly
0,anomaly
3042,normal
0,anomaly
0,anomaly
224,normal
0,anomaly
0,anomaly
0,anomaly
281,normal
493,normal
0,anomaly
0,anomaly
363,normal
128,normal
2737,normal
0,normal
1425,normal
0,anomaly
0,anomaly
13603,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
8921,normal
347,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
7384,normal
0,normal
0,anomaly
12623,normal
332,normal
333,normal
0,anomaly
329,normal
0,anomaly
0,anomaly
336,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
42,normal
0,anomaly
0,normal
0,normal
0,anomaly
5834,normal
0,anomaly
1427,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1035,normal
0,anomaly
0,anomaly
2795,normal
940,normal
0,anomaly
663,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2408,normal
11680,normal
0,anomaly
0,normal
275,normal
27998,normal
5745,normal
283,normal
0,anomaly
0,anomaly
402,normal
0,normal
1417,normal
1875,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2698,normal
0,anomaly
147,normal
602,normal
436,normal
328,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
370,normal
83,normal
332,normal
0,anomaly
6776,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
134,normal
0,normal
130,normal
71,normal
0,anomaly
12642,normal
0,anomaly
8611,normal
10686,normal
0,normal
520,normal
0,normal
0,normal
759,normal
3938,normal
0,anomaly
408,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
260,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
23920,normal
3556,normal
0,anomaly
0,anomaly
934,normal
0,anomaly
4,normal
1247,normal
0,anomaly
0,anomaly
1224,normal
3941,normal
0,anomaly
328,normal
0,anomaly
0,anomaly
183,normal
0,anomaly
0,anomaly
71,normal
0,anomaly
0,anomaly
420,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
301,normal
6622,normal
0,anomaly
583,normal
0,anomaly
1380,normal
317,normal
0,anomaly
1137,normal
0,anomaly
73,normal
0,anomaly
12471,normal
0,anomaly
123,anomaly
15,normal
0,anomaly
0,anomaly
4084,normal
0,normal
0,anomaly
0,normal
105,normal
105,normal
0,anomaly
45,normal
0,anomaly
0,anomaly
357,normal
0,anomaly
0,anomaly
11380,normal
0,anomaly
13450,normal
0,anomaly
2449,anomaly
329,normal
0,anomaly
255,normal
331,normal
0,anomaly
1981,normal
0,anomaly
0,normal
38643,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
682,normal
0,anomaly
0,normal
234,normal
0,anomaly
108545,normal
0,anomaly
4143,normal
16574,normal
0,anomaly
42,normal
0,anomaly
325,normal
12604,normal
0,anomaly
0,anomaly
134,normal
0,anomaly
4,normal
0,anomaly
0,anomaly
0,anomaly
3808,normal
105,normal
91,normal
29,normal
0,anomaly
326,normal
2887,normal
330,normal
145,normal
0,anomaly
0,anomaly
6874,normal
1704,normal
16819,normal
7204,normal
0,anomaly
9696,normal
0,anomaly
2659,normal
0,anomaly
336,normal
0,anomaly
0,anomaly
0,normal
6833,normal
3819,normal
0,anomaly
0,anomaly
12037,normal
0,anomaly
1600,normal
3222,normal
0,normal
2446,normal
2107,normal
0,normal
0,anomaly
3222,normal
608,normal
0,anomaly
0,anomaly
0,anomaly
749,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
9544,normal
0,anomaly
15495,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
73,normal
380,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
41,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
147,normal
0,anomaly
2488,normal
45,normal
0,anomaly
7999,normal
512,normal
0,anomaly
1129,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
333,normal
328,normal
42,normal
2924,normal
0,anomaly
0,anomaly
1380,normal
0,normal
943,normal
0,anomaly
8621,normal
329,normal
0,anomaly
566,normal
1695,normal
0,anomaly
0,anomaly
0,anomaly
1319,normal
282,normal
44,normal
0,anomaly
128,normal
0,anomaly
8015,normal
0,anomaly
321,normal
0,anomaly
24786,normal
0,anomaly
0,anomaly
321,normal
275,normal
47,normal
0,anomaly
0,anomaly
6471,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
136,normal
337,normal
786,normal
0,anomaly
42,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
45,normal
0,normal
68,normal
366,normal
495,normal
0,normal
0,anomaly
44,normal
116,normal
338,normal
900,normal
0,anomaly
333,normal
499,normal
2531,normal
0,anomaly
1425,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
3327,normal
1061,normal
0,anomaly
0,anomaly
0,anomaly
140,normal
0,anomaly
0,anomaly
313,normal
0,anomaly
753,normal
0,anomaly
0,anomaly
0,anomaly
311,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
146,normal
0,anomaly
263,normal
0,anomaly
0,anomaly
374,normal
147,normal
0,anomaly
5918,normal
0,anomaly
13508,normal
0,anomaly
0,normal
0,anomaly
23376,normal
1408,normal
0,anomaly
0,normal
130,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
3571,normal
0,anomaly
273544,normal
0,anomaly
0,anomaly
0,normal
18881,normal
0,anomaly
0,anomaly
1541,normal
333,normal
117,normal
332,normal
0,anomaly
5250,normal
0,anomaly
0,anomaly
0,anomaly
6721,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
72,normal
0,anomaly
0,anomaly
107,normal
0,anomaly
71903,normal
0,normal
15119,normal
42,normal
3891,normal
267,normal
1738,normal
807,normal
1225,normal
4114,normal
0,anomaly
0,anomaly
2435,normal
71,normal
0,anomaly
0,anomaly
3709,normal
2070,normal
14609,normal
672,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
2451,anomaly
263,normal
0,anomaly
0,anomaly
0,anomaly
4841,normal
1148,normal
1476,normal
0,anomaly
0,anomaly
274,normal
0,anomaly
0,normal
73,normal
0,anomaly
328,normal
656,normal
0,anomaly
77,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1650,normal
584,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
10561,normal
0,anomaly
0,anomaly
263,normal
1444,normal
0,anomaly
0,anomaly
0,anomaly
14515,normal
0,anomaly
479,normal
760,normal
928,normal
0,normal
269,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
2449,anomaly
7833,normal
0,anomaly
0,anomaly
0,anomaly
11758,normal
8377,normal
0,anomaly
0,anomaly
365,normal
0,anomaly
0,anomaly
8314,anomaly
13592,normal
1831,normal
128,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
132,normal
328,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
42,normal
0,anomaly
772,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
127,normal
0,anomaly
731,normal
0,anomaly
0,normal
337,normal
0,anomaly
923,normal
93,normal
2996,normal
0,anomaly
0,anomaly
0,normal
9968,normal
0,anomaly
789,normal
1394,normal
0,anomaly
0,anomaly
0,normal
7980,normal
0,anomaly
1380,normal
0,anomaly
0,anomaly
0,anomaly
2862,normal
0,anomaly
0,anomaly
0,anomaly
5015,normal
660,normal
0,normal
0,normal
0,anomaly
8314,anomaly
2839,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
4858,normal
0,anomaly
105,normal
4408,normal
2055,normal
131,normal
0,anomaly
0,anomaly
29228,normal
0,anomaly
0,anomaly
0,anomaly
330,normal
0,normal
0,normal
0,normal
6662,normal
347,normal
325,normal
1863,normal
732,normal
0,anomaly
0,normal
266,normal
0,anomaly
1317,normal
0,anomaly
2358,normal
841,normal
0,anomaly
783,normal
0,normal
0,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
1801,normal
7473,normal
1380,normal
0,normal
0,anomaly
81,normal
334,normal
0,anomaly
0,anomaly
0,anomaly
44,normal
0,anomaly
0,anomaly
667,normal
8314,anomaly
139,normal
0,anomaly
8314,anomaly
0,anomaly
146,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
337,normal
296,normal
0,anomaly
2196,normal
1518,normal
0,anomaly
0,normal
1326,normal
2507,normal
362,normal
0,anomaly
658,normal
2281,normal
0,anomaly
127,normal
0,anomaly
131,normal
0,anomaly
1669,normal
0,normal
1964,normal
15,normal
0,anomaly
0,normal
0,normal
4841,normal
0,anomaly
1608,normal
284,normal
0,anomaly
1063,normal
0,anomaly
0,anomaly
125,normal
130,normal
632,normal
1660,normal
0,anomaly
0,anomaly
2362,normal
493,normal
272,normal
0,anomaly
7542,normal
29,normal
0,anomaly
1531,normal
331,normal
0,anomaly
0,anomaly
1146,normal
0,anomaly
0,anomaly
0,anomaly
276,normal
0,anomaly
0,anomaly
0,anomaly
788,normal
328,normal
2507,normal
0,anomaly
0,anomaly
0,anomaly
882,normal
1367,normal
0,anomaly
322,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
6991,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
127,normal
5604,normal
19994,normal
6329,normal
146,normal
0,anomaly
15021,normal
1380,normal
328,normal
0,anomaly
0,anomaly
0,anomaly
927,normal
0,anomaly
408,normal
377,normal
8584,normal
0,anomaly
0,anomaly
7189,normal
2344,normal
0,anomaly
0,anomaly
1511,normal
392,normal
2288,normal
8784,normal
0,normal
0,anomaly
185,normal
0,normal
0,anomaly
0,anomaly
4841,normal
3966,normal
0,anomaly
0,anomaly
0,anomaly
133,normal
2698,normal
0,normal
758,normal
105,normal
0,normal
0,anomaly
0,normal
36500,normal
1556,normal
0,anomaly
0,anomaly
0,anomaly
1481,normal
0,normal
3679,normal
0,anomaly
2777,normal
238,normal
11830,normal
110,normal
0,anomaly
0,anomaly
0,anomaly
1442,normal
0,normal
331,normal
0,anomaly
0,anomaly
360,normal
332,normal
0,normal
0,normal
2853,normal
325,normal
0,anomaly
955,normal
486,normal
0,anomaly
0,normal
5309,normal
388,normal
376,normal
73,normal
1423,normal
0,anomaly
327,normal
0,anomaly
7931,normal
0,normal
0,anomaly
2445,anomaly
0,anomaly
0,normal
0,anomaly
3632,normal
0,anomaly
481,normal
0,anomaly
1567,normal
0,anomaly
0,anomaly
1133,normal
1240,normal
375,normal
223,normal
128,normal
0,normal
0,anomaly
39,normal
0,normal
1991,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2400,normal
3413,normal
0,anomaly
0,anomaly
1901,normal
1630,normal
0,anomaly
0,anomaly
0,anomaly
1543,normal
146,normal
413,normal
330,normal
0,anomaly
0,normal
0,normal
295,normal
0,normal
36,normal
1651,normal
0,anomaly
0,anomaly
0,anomaly
336,normal
1478,normal
0,anomaly
0,anomaly
4184,normal
0,anomaly
0,anomaly
0,anomaly
399,normal
0,normal
2198,normal
7299,normal
0,anomaly
8314,anomaly
0,anomaly
4,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
412,normal
0,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
170,normal
886,normal
950,normal
0,anomaly
3415,normal
438,normal
0,anomaly
74,normal
0,anomaly
0,anomaly
0,anomaly
2840,normal
345,normal
1675,normal
329,normal
105,normal
0,anomaly
146,normal
0,anomaly
473,normal
934,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
332,normal
0,anomaly
0,anomaly
0,normal
105,normal
136,normal
136,normal
0,anomaly
0,anomaly
0,anomaly
833,normal
326,normal
3119,normal
274,normal
0,normal
0,anomaly
0,anomaly
2211,normal
0,anomaly
0,anomaly
937,normal
4152,normal
0,anomaly
776,normal
12984,normal
1295,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
335,normal
2446,normal
0,anomaly
2047,normal
2239,normal
126,normal
0,anomaly
0,anomaly
0,anomaly
2495,normal
365,normal
0,normal
334,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
0,normal
0,normal
27062,normal
0,anomaly
0,anomaly
1074,normal
7339,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
30881,normal
495,normal
0,normal
115,normal
0,normal
1054,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
1,anomaly
0,anomaly
0,normal
0,anomaly
0,normal
0,anomaly
1159,normal
0,anomaly
1792,normal
79,normal
0,normal
329,normal
0,anomaly
0,anomaly
0,anomaly
1422,normal
416,normal
3085,normal
4291,normal
0,anomaly
332,normal
274,normal
2159,normal
2055,normal
189,normal
339,normal
2279,anomaly
2522,normal
11440,normal
0,anomaly
654,normal
4,normal
0,anomaly
261,normal
0,anomaly
15255,normal
0,normal
46,normal
0,anomaly
0,anomaly
329,normal
0,anomaly
500,normal
0,anomaly
4724,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2239,normal
44,normal
0,anomaly
0,anomaly
9547,normal
0,normal
0,normal
12937,normal
3322,normal
0,anomaly
106,normal
0,anomaly
2174,normal
2942,normal
143,normal
73,normal
0,anomaly
0,anomaly
388,normal
130,normal
0,anomaly
10179,normal
130,normal
0,anomaly
0,anomaly
336,normal
0,normal
0,anomaly
1630,normal
0,normal
757,normal
323,normal
86,normal
0,anomaly
0,anomaly
1590,normal
2769,normal
5524,normal
0,anomaly
1415,normal
0,anomaly
14210,normal
0,anomaly
2113,normal
0,anomaly
36749,normal
129,normal
0,normal
578,normal
4,normal
1718,normal
0,anomaly
0,anomaly
1728,normal
0,normal
132,normal
0,anomaly
0,normal
10063,normal
0,anomaly
370,normal
330,normal
0,anomaly
0,anomaly
18056,anomaly
0,anomaly
3207,normal
0,anomaly
3452,normal
0,anomaly
0,normal
105,normal
8314,anomaly
0,anomaly
77,normal
330,normal
0,anomaly
139,normal
0,normal
8314,anomaly
138,normal
0,anomaly
8314,anomaly
1086,normal
42,normal
0,anomaly
0,anomaly
44,normal
2402,normal
0,anomaly
0,normal
336,normal
0,anomaly
0,anomaly
290,normal
93111,normal
3225,normal
329,normal
1337,normal
0,anomaly
1227,normal
0,anomaly
5567,normal
0,normal
281,normal
0,anomaly
31876,normal
0,normal
14087,normal
147,normal
0,normal
0,anomaly
0,anomaly
0,anomaly
3307,normal
1197,normal
0,normal
279,normal
997,normal
1137,normal
2698,normal
0,anomaly
471,normal
0,anomaly
3521,normal
0,normal
0,anomaly
0,normal
0,normal
674,normal
0,anomaly
10044,normal
0,normal
1817,normal
73,normal
0,normal
0,anomaly
10925,normal
329,normal
0,anomaly
1179,normal
0,anomaly
0,anomaly
660,normal
367,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
901,normal
0,anomaly
0,anomaly
0,normal
0,anomaly
501,normal
75,normal
37014,normal
0,anomaly
286,normal
0,anomaly
76,normal
0,normal
1402,normal
9928,normal
3159,normal
42,normal
332,normal
0,anomaly
1770,normal
0,anomaly
45,normal
2325,normal
137,normal
89,normal
0,normal
0,anomaly
0,anomaly
2445,normal
0,anomaly
0,anomaly
1705,normal
19714,normal
13667,normal
0,anomaly
0,anomaly
255,normal
0,anomaly
0,anomaly
2325,normal
131,normal
87,normal
538,normal
78,normal
6763,normal
465,normal
0,anomaly
0,anomaly
4,normal
2085,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
2447,anomaly
0,normal
127,normal
0,normal
384,normal
1116,normal
11052,normal
45,normal
0,normal
46,normal
0,anomaly
128,normal
188,normal
0,anomaly
0,normal
0,anomaly
333,normal
0,normal
280,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
326,normal
0,anomaly
0,anomaly
328,normal
279,normal
442,normal
0,anomaly
147,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
0,anomaly
4624,normal
0,anomaly
125,normal
2241,normal
1522,normal
0,anomaly
1308,normal
0,anomaly
95,normal
105,normal
441,normal
0,anomaly
325,normal
0,anomaly
5717,normal
0,anomaly
0,anomaly
0,anomaly
0,normal
0,anomaly
242,normal
0,anomaly
0,anomaly
0,anomaly
453,normal
15642,normal
0,normal
12984,normal
0,normal
8314,anomaly
144,normal
0,anomaly
0,normal
7973,normal
331,normal
312,normal
0,anomaly
143,normal
0,anomaly
2906,normal
2647,normal
2713,normal
0,anomaly
693,normal
36,normal
72,normal
678,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
279,normal
0,normal
0,anomaly
0,anomaly
34,normal
133,normal
0,normal
1341,normal
8222,normal
0,anomaly
1762,normal
0,anomaly
2449,anomaly
0,anomaly
0,anomaly
709,normal
0,anomaly
330,normal
0,anomaly
0,normal
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
0,anomaly
331,normal
0,anomaly
0,anomaly
0,anomaly
78,normal
0,anomaly
8314,anomaly
0,normal
0,anomaly
0,anomaly
13335,normal
0,anomaly
1474,normal
