duration,protocol_type,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,SF,253,11905,1,8,10,1,87,255,1,0,0.01,0.02,0,0,normal
5607,udp,SF,147,105,0,1,1,1,255,1,0,0.85,1,0,0,0,normal
0,tcp,S0,0,0,0,248,2,0.01,255,2,0.01,0.06,0,0,0,0,anomaly
507,tcp,SF,437,14421,1,1,1,1,255,25,0.1,0.05,0,0,0.02,0.16,normal
0,tcp,S0,0,0,0,279,7,0.03,255,13,0.05,0.07,0,0,0,0,anomaly
0,tcp,SF,227,6588,1,5,22,1,43,255,1,0,0.02,0.14,0.56,0.57,normal
0,tcp,SF,215,10499,1,14,14,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,241,1400,1,33,33,1,255,255,1,0,0,0,0,0,normal
0,icmp,SF,8,0,0,1,12,1,1,53,1,0,1,0.51,0,0,anomaly
0,tcp,S0,0,0,0,57,16,0.28,255,59,0.23,0.04,0.01,0,0,0,anomaly
0,tcp,SF,303,555,1,9,9,1,9,255,1,0,0.11,0.01,0,0,normal
0,tcp,REJ,0,0,0,2,1,0.5,255,1,0,0.31,0.28,0,0.29,1,anomaly
0,udp,SF,45,45,0,181,181,1,255,250,0.98,0.01,0,0,0,0,normal
1,udp,SF,105,147,0,2,2,1,41,5,0.12,0.05,0.05,0,0,0,normal
0,udp,SF,43,43,0,122,202,1,255,255,1,0,0.01,0,0,0,normal
0,tcp,S0,0,0,0,205,17,0.08,255,17,0.07,0.07,0,0,0,0,anomaly
0,tcp,SF,324,2302,1,22,28,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,228,13,0.06,255,13,0.05,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,50,11,0.22,255,63,0.25,0.02,0.01,0,0,0,anomaly
0,tcp,S0,0,0,0,262,12,0.05,255,9,0.04,0.07,0,0,0,0,anomaly
2,tcp,SF,1591,372,1,1,2,1,181,147,0.81,0.02,0.01,0,0,0,normal
9052,udp,SF,146,105,0,4,2,0.5,255,2,0.01,0.66,0.99,0,0,0,normal
0,tcp,SF,290,3006,1,11,11,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,108,11,0.1,255,11,0.04,0.07,0,0,0,0,anomaly
0,udp,SF,28,0,0,80,80,1,255,80,0.31,0.02,0.31,0,0,0,anomaly
0,tcp,SF,255,861,1,44,44,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,334,0,1,2,2,1,4,38,1,0,1,0.18,0,0,anomaly
0,tcp,S0,0,0,0,258,17,0.07,255,5,0.02,0.07,0,0,0,0,anomaly
0,tcp,SF,302,498,1,10,10,1,131,255,1,0,0.01,0.04,0,0,normal
0,tcp,REJ,0,0,0,61,4,0.07,255,4,0.02,0.08,0,0,1,1,anomaly
0,udp,SF,28,0,0,2,2,1,255,2,0.01,0.02,0.01,0,0.77,0,anomaly
0,tcp,SF,220,1398,1,26,42,1,26,255,1,0,0.04,0.03,0,0,normal
0,udp,SF,43,69,0,120,120,1,255,245,0.96,0.01,0.01,0,0,0,normal
0,udp,SF,44,133,0,73,75,1,122,212,0.88,0.02,0.88,0.01,0.08,0,normal
0,icmp,SF,8,0,0,1,15,1,2,46,1,0,1,0.26,0,0,anomaly
0,tcp,S0,0,0,0,135,9,0.07,255,11,0.04,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,24,12,0.5,255,59,0.23,0.04,0,0,0,0,anomaly
0,udp,SF,43,43,0,148,228,1,255,255,1,0,0.01,0,0,0,normal
0,tcp,SF,641,0,1,2,2,1,175,48,0.25,0.02,0.25,0.04,0,0,normal
0,tcp,REJ,0,0,0,206,4,0.02,255,4,0.02,0.08,0,0,1,1,anomaly
0,tcp,REJ,0,0,0,175,1,0.01,255,1,0,0.84,0,0,0.62,1,anomaly
0,tcp,SF,310,2794,1,4,4,1,255,255,1,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,63,10,0.16,255,10,0.04,0.07,0,0,1,1,anomaly
0,tcp,SF,696,333,1,1,1,1,109,133,0.39,0.04,0.01,0.02,0,0,normal
0,tcp,RSTR,0,0,0,1,1,1,236,1,0,0.58,0.58,0,0.58,1,anomaly
0,tcp,S0,0,0,0,52,19,0.37,255,67,0.26,0.02,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,125,7,0.06,255,6,0.02,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,168,21,0.12,255,21,0.08,0.06,0,0,0,0,anomaly
0,tcp,SF,221,2878,1,1,1,1,21,58,1,0,0.05,0.03,0,0,normal
0,tcp,S0,0,0,0,145,16,0.11,255,31,0.12,0.05,0,0,0,0,anomaly
0,icmp,SF,181,0,0,3,2,0.67,255,93,0.36,0.01,0.46,0,0,0,normal
0,udp,SF,42,42,0,9,14,1,84,83,0.99,0.02,0.01,0,0,0,normal
0,tcp,S0,0,0,0,138,6,0.04,255,6,0.02,0.07,0,0,0,0,anomaly
0,tcp,SF,12,0,1,1,1,1,44,47,0.55,0.07,0.55,0.04,0,0,normal
0,tcp,S0,0,0,0,276,9,0.03,255,9,0.04,0.06,0,0,0,0,anomaly
0,tcp,SF,210,2790,1,10,27,1,48,255,1,0,0.02,0.09,0,0,normal
0,tcp,SF,321,5683,1,10,10,1,168,255,1,0,0.01,0.04,0,0,normal
0,tcp,REJ,0,0,0,248,8,0.03,255,8,0.03,0.07,0,0,1,1,anomaly
0,tcp,SF,329,3982,1,2,31,1,24,255,1,0,0.04,0.05,0,0,normal
0,tcp,REJ,0,0,0,135,7,0.05,255,7,0.03,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,220,19,0.09,255,2,0.01,0.07,0,0,0,0,anomaly
0,icmp,SF,8,0,0,1,44,1,1,95,1,0,1,0.51,0,0,anomaly
0,tcp,SF,320,379,1,9,9,1,123,255,1,0,0.01,0.02,0,0,normal
0,tcp,S0,0,0,0,212,7,0.03,72,7,0.1,0.11,0.01,0,0,0,anomaly
0,tcp,SF,225,3762,1,10,10,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,250,13,0.05,255,1,0,0.07,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,132,15,0.11,255,15,0.06,0.06,0,0,1,1,anomaly
315,udp,SF,146,105,0,3,2,0.67,117,2,0.02,0.54,0.78,0,0,0,normal
0,tcp,SF,247,1416,1,11,11,1,156,255,1,0,0.01,0.09,0.46,0.61,normal
0,tcp,SF,353,1483,1,3,9,1,255,255,1,0,0,0,0,0,normal
0,udp,SF,44,44,0,109,189,0.99,255,254,1,0.01,0.01,0,0,0,normal
0,tcp,REJ,0,0,0,146,18,0.12,255,10,0.04,0.08,0,0,1,1,anomaly
0,tcp,S0,0,0,0,300,6,0.02,255,3,0.01,0.07,0,0,0,0,anomaly
2,tcp,SF,3065,331,1,1,2,1,243,119,0.48,0.02,0,0.02,0,0,normal
0,udp,SF,102,102,0,1,1,1,7,1,0.14,0.29,0.14,0,0,0,normal
0,tcp,SF,259,750,1,4,5,1,4,255,1,0,0.25,0.03,0,0,normal
1082,udp,SF,147,105,0,2,2,1,255,2,0.01,0.42,0.86,0,0,0,normal
0,tcp,S0,0,0,0,129,16,0.12,255,12,0.05,0.05,0,0,0,0,anomaly
0,tcp,SF,0,354,0,32,32,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,309,306,1,1,1,1,66,255,1,0,0.02,0.02,0,0,normal
0,tcp,REJ,0,0,0,1,2,1,1,247,1,0,1,0.15,1,0.68,normal
0,tcp,SF,278,7227,1,3,3,1,153,255,1,0,0.01,0.05,0,0,normal
0,udp,SF,28,0,0,82,82,1,255,182,0.71,0.29,0.71,0,0.2,0,anomaly
0,tcp,SF,313,761,1,1,1,1,43,255,1,0,0.02,0.03,0,0,normal
0,tcp,SF,219,1212,1,15,15,1,242,255,1,0,0,0.01,0,0,normal
0,tcp,SF,245,9165,1,2,3,1,10,255,1,0,0.1,0.05,0,0,normal
0,tcp,SF,328,2243,1,21,21,1,21,255,1,0,0.05,0.04,0,0,normal
0,tcp,REJ,0,0,0,1,1,1,23,249,1,0,0.04,0.1,1,0.96,normal
0,tcp,SF,251,301,1,3,7,1,255,252,0.99,0.01,0,0,0,0,normal
0,tcp,SF,2089,335,1,2,2,0.5,255,152,0.6,0.03,0,0,0,0.01,normal
0,tcp,REJ,0,0,0,1,1,1,6,255,1,0,0.17,0.21,1,0.88,normal
0,tcp,SF,237,511,1,1,1,1,3,255,1,0,0.33,0.01,0,0,normal
0,tcp,SF,324,431,1,4,5,1,107,255,1,0,0.01,0.02,0,0,normal
25950,tcp,RSTR,1,0,0,2,2,1,255,2,0.01,0.69,1,0,1,1,anomaly
0,tcp,REJ,0,0,0,110,17,0.15,255,17,0.07,0.07,0,0,1,1,anomaly
0,udp,SF,105,145,0,4,1,0.25,255,239,0.94,0.01,0,0,0,0,normal
0,tcp,SF,218,974,1,6,6,1,6,255,1,0,0.17,0.02,0,0,normal
0,tcp,SF,325,2649,1,7,7,1,107,255,1,0,0.01,0.01,0,0,normal
0,tcp,REJ,0,0,0,246,20,0.08,255,20,0.08,0.07,0,0,1,1,anomaly
0,tcp,REJ,0,0,0,272,19,0.07,255,19,0.07,0.08,0,0,1,1,anomaly
0,tcp,S0,0,0,0,259,8,0.03,255,8,0.03,0.08,0,0,0,0,anomaly
240,tcp,SF,328,275,1,9,10,1,255,250,0.98,0.01,0,0,0,0,normal
0,tcp,S0,0,0,0,294,6,0.02,255,8,0.03,0.07,0,0,0,0,anomaly
0,tcp,SF,9,138,0,1,1,1,195,10,0.03,0.03,0.01,0.2,0.01,0,normal
0,udp,SF,46,46,0,96,178,1,255,254,1,0.01,0.01,0,0,0,normal
1,tcp,SF,1079,334,1,1,1,1,138,167,0.57,0.03,0.01,0.01,0,0,normal
0,udp,SF,45,139,0,79,159,1,255,254,1,0.01,0,0,0,0,normal
26,tcp,SF,273,903,1,1,1,1,176,49,0.28,0.02,0.01,0,0,0,normal
0,tcp,S0,0,0,0,190,20,0.11,255,20,0.08,0.08,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,135,5,0.04,255,1,0,0.07,0,0,1,1,anomaly
0,tcp,SF,237,138,1,2,2,1,2,2,1,0,0.5,0,0,0,normal
0,tcp,SF,225,1357,1,1,1,1,5,255,1,0,0.2,0.02,0,0,normal
0,tcp,S0,0,0,0,123,7,0.06,255,7,0.03,0.08,0,0,0,0,anomaly
0,tcp,S0,0,0,0,245,20,0.08,255,7,0.03,0.07,0,0,0,0,anomaly
0,udp,SF,147,0,0,3,1,0.33,255,1,0,0.61,0.97,0,0,0,normal
0,tcp,SF,262,1011,1,3,4,1,94,255,1,0,0.02,0.01,0,0,normal
0,icmp,SF,1032,0,0,263,263,1,255,255,1,0,1,0,0,0,anomaly
0,tcp,S0,0,0,0,109,13,0.12,255,7,0.03,0.06,0,0,0,0,anomaly
0,tcp,SF,261,8412,1,9,9,1,255,255,1,0,0,0,0,0,normal
0,tcp,REJ,0,0,0,145,8,0.06,255,8,0.03,0.09,0,0,1,1,anomaly
0,tcp,REJ,0,0,0,250,2,0.01,255,2,0.01,0.07,0,0,1,1,anomaly
0,tcp,SF,294,1719,1,8,8,1,108,255,1,0,0.01,0.01,0,0,normal
0,tcp,SF,221,981,1,2,3,1,50,82,1,0,0.02,0.04,0,0,normal
0,tcp,SF,284,10352,1,2,2,1,11,255,1,0,0.09,0.07,0,0,normal
0,tcp,SH,0,0,0,1,1,1,255,1,0,1,1,0,0,0,anomaly
0,tcp,SF,309,16096,1,3,3,1,31,129,1,0,0.03,0.02,0,0,normal
0,tcp,SF,334,0,1,2,2,1,6,26,1,0,1,0.19,0,0,anomaly
0,tcp,S0,0,0,0,13,4,0.31,255,64,0.25,0.02,0.01,0,0,0,anomaly
0,tcp,S0,0,0,0,87,1,0.01,255,1,0,0.06,0,0,0,0,anomaly
0,tcp,SF,214,283,1,2,2,1,27,255,1,0,0.04,0.05,0,0,normal
0,tcp,S0,0,0,0,292,13,0.04,255,14,0.05,0.08,0,0,0,0,anomaly
0,tcp,S0,0,0,0,295,18,0.06,255,1,0,0.08,0,0,0,0,anomaly
0,tcp,S0,0,0,0,143,15,0.1,255,15,0.06,0.05,0,0,0,0,anomaly
0,udp,SF,46,78,0,278,277,1,255,254,1,0.01,0,0,0,0,normal
0,tcp,SF,748,0,1,1,1,1,6,92,0.83,0.33,0.83,0.03,0,0,normal
0,tcp,S0,0,0,0,102,19,0.19,255,18,0.07,0.06,0,0,0,0,anomaly
0,icmp,SF,8,0,0,1,46,1,1,15,1,0,1,0.53,0,0,anomaly
0,tcp,S0,0,0,0,251,3,0.01,255,3,0.01,0.08,0,0,0,0,anomaly
0,tcp,SF,329,8437,1,4,4,1,83,255,1,0,0.01,0.04,0,0,normal
0,tcp,SF,9,0,1,2,2,1,185,119,0.5,0.38,0.5,0.02,0.37,0.01,normal
0,udp,SF,46,128,0,222,302,1,255,253,0.99,0.01,0,0,0,0,normal
0,tcp,SF,1766,0,1,2,2,1,255,6,0.02,0.02,0.02,0,0.83,0,normal
0,tcp,S0,0,0,0,260,4,0.02,255,4,0.02,0.07,0,0,0,0,anomaly
9015,tcp,RSTR,1,0,0,2,2,1,255,2,0.01,0.74,1,0,1,1,anomaly
7,tcp,SF,8,135,0,1,1,1,196,6,0.03,0.03,0.01,0.33,0.01,0,normal
0,tcp,SF,266,529,1,1,6,1,94,255,1,0,0.01,0.02,0,0,normal
0,tcp,SF,245,0,0,3,2,0.67,99,68,0.32,0.06,0.32,0.03,0,0,normal
0,tcp,SF,295,465,1,11,12,1,69,255,1,0,0.01,0.04,0,0,normal
0,tcp,S0,0,0,0,44,12,0.27,255,12,0.05,0.08,0,0,0,0,anomaly
0,tcp,SF,228,6834,1,2,7,1,18,19,1,0,0.06,0.11,0,0,normal
0,icmp,SF,1032,0,0,511,511,1,255,212,0.83,0.02,0.83,0,0,0,anomaly
0,tcp,REJ,0,0,0,272,15,0.06,255,15,0.06,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,122,19,0.16,255,19,0.07,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,287,3,0.01,255,3,0.01,0.05,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,1,3,1,118,195,1,0,0.01,0.02,0.74,0.84,normal
0,tcp,REJ,0,0,0,486,1,0,255,1,0,0.91,0,0,0.89,1,anomaly
0,udp,SF,1,0,0,22,6,0.27,255,6,0.02,0.06,1,0,0,0,anomaly
0,tcp,S0,0,0,0,286,9,0.03,255,11,0.04,0.07,0,0,0,0,anomaly
0,icmp,SF,30,0,0,1,1,1,247,247,1,0,1,0,0,0,normal
1,tcp,SF,2078,333,1,1,2,1,89,117,0.31,0.03,0.01,0.02,0,0,normal
0,tcp,SF,19,0,0,1,1,1,201,5,0.02,0.04,0.02,0,0,0,normal
0,tcp,SF,661,329,1,1,1,1,163,69,0.36,0.02,0.01,0.03,0,0,normal
0,udp,SF,28,0,0,35,34,0.97,255,34,0.13,0.02,0.13,0,0.67,0,anomaly
0,tcp,S0,0,0,0,28,2,0.07,255,42,0.16,0.03,0,0,0,0,anomaly
0,tcp,S0,0,0,0,108,18,0.17,255,18,0.07,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,101,5,0.05,255,15,0.06,0.07,0,0,0,0,anomaly
0,tcp,SF,1075,364,1,1,2,1,255,100,0.39,0.17,0,0,0,0,normal
0,tcp,SF,223,656,1,12,21,1,172,255,1,0,0.01,0.02,0,0,normal
15159,tcp,SF,350,1185,1,1,2,1,255,142,0.56,0.02,0,0,0,0,anomaly
0,tcp,SF,233,2470,1,10,10,1,32,255,1,0,0.03,0.01,0,0,normal
0,tcp,S0,0,0,0,223,10,0.04,255,9,0.04,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,223,17,0.08,255,17,0.07,0.06,0,0,0,0,anomaly
0,tcp,SF,201,1938,1,19,34,1,44,255,1,0,0.02,0.03,0,0,normal
0,tcp,SF,271,4781,1,4,7,1,11,28,1,0,0.09,0.25,0,0,normal
0,tcp,SF,14416,0,1,1,1,1,205,50,0.19,0.02,0.19,0.04,0,0,normal
0,tcp,SF,227,11564,1,5,6,1,41,52,1,0,0.02,0.04,0,0,normal
0,tcp,REJ,0,0,0,406,1,0,255,1,0,0.52,1,0,1,1,anomaly
0,tcp,SF,225,2445,1,4,5,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,176,426,1,6,6,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,143,14,0.1,255,14,0.05,0.06,0,0,0,0,anomaly
0,tcp,SF,227,762,1,17,17,1,202,255,1,0,0,0.02,0,0,normal
0,tcp,SF,855,575,1,1,1,1,255,20,0.08,0.02,0,0,0,0,normal
0,tcp,SF,944,330,1,1,1,1,214,166,0.63,0.02,0,0.01,0,0,normal
0,tcp,SF,954,326,1,2,1,0.5,28,104,0.71,0.11,0.04,0.02,0,0,normal
0,tcp,S0,0,0,0,201,18,0.09,255,18,0.07,0.07,0,0,0,0,anomaly
0,tcp,SF,166,34660,1,1,1,1,16,255,1,0,0.06,0.06,0,0,normal
0,tcp,SF,306,2698,1,4,5,1,255,240,0.94,0.01,0,0,0.01,0,normal
0,tcp,S0,0,0,0,124,19,0.15,255,19,0.07,0.05,0,0,0,0,anomaly
0,tcp,REJ,0,0,0,162,1,0.01,255,1,0,0.8,0,0,0.61,1,anomaly
0,icmp,SF,1480,0,0,2,4,1,2,38,1,0,1,0.5,0,0,anomaly
0,tcp,S0,0,0,0,277,17,0.06,255,17,0.07,0.07,0,0,0,0,anomaly
0,tcp,SF,313,8549,1,4,4,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,274,22,0.08,255,22,0.09,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,141,12,0.09,255,16,0.06,0.06,0,0,0,0,anomaly
0,tcp,SF,285,6008,1,3,3,1,128,255,1,0,0.01,0.01,0.01,0,normal
0,tcp,SF,226,1411,1,8,23,1,37,255,1,0,0.03,0.02,0,0,normal
0,tcp,SF,256,12984,1,1,1,1,34,255,1,0,0.03,0.04,0,0,normal
1,tcp,SF,3740,449,1,1,3,1,193,185,0.68,0.02,0.01,0.01,0,0,normal
0,tcp,SF,224,449,1,10,11,1,39,255,1,0,0.03,0.04,0,0,normal
0,tcp,S0,0,0,0,103,3,0.03,255,3,0.01,0.07,0,0,0,0,anomaly
4,tcp,SF,832,0,1,1,1,1,3,28,1,0,1,0.18,0,0,anomaly
0,tcp,S0,0,0,0,246,20,0.08,255,20,0.08,0.07,0,0,0,0,anomaly
0,icmp,SF,8,0,0,1,50,1,1,25,1,0,1,0.56,0,0,anomaly
0,tcp,SF,201,169,1,7,7,1,29,255,1,0,0.03,0.04,0,0,normal
0,tcp,SF,285,304,1,32,34,1,101,255,1,0,0.01,0.03,0,0,normal
0,tcp,S0,0,0,0,125,24,0.19,255,24,0.09,0.05,0,0,0,0,anomaly
0,tcp,SF,7422,0,1,8,8,1,255,44,0.17,0.02,0.17,0,0.72,0,normal
0,tcp,SF,198,12884,1,2,2,1,2,2,1,0,0.5,0,0,0,normal
20,tcp,SF,2310,328,1,1,3,1,255,157,0.62,0.02,0,0,0,0,normal
0,tcp,SF,331,955,1,6,6,1,38,255,1,0,0.03,0.01,0,0,normal
0,icmp,SF,65,0,0,9,2,0.22,255,16,0.06,0.01,0.06,0,0,0,normal
0,udp,SF,28,0,0,4,4,1,255,71,0.28,0.01,0.28,0,0,0,anomaly
0,udp,SF,45,77,0,171,173,1,255,232,0.91,0.01,0,0,0,0,normal
0,tcp,RSTO,0,0,0,250,3,0.01,255,3,0.01,0.07,0,0,1,1,anomaly
0,tcp,S0,0,0,0,238,7,0.03,255,7,0.03,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,102,2,0.02,255,2,0.01,0.06,0,0,0,0,anomaly
0,tcp,SF,9,142,0,1,1,1,235,12,0.05,0.03,0,0,0,0,normal
0,tcp,SF,283,912,1,2,2,1,75,255,1,0,0.01,0.03,0,0,normal
0,tcp,SF,221,1789,1,2,10,1,73,255,1,0,0.01,0.02,0,0,normal
0,icmp,SF,18,0,0,1,1,1,1,123,1,0,1,1,0,0,anomaly
0,tcp,S0,0,0,0,281,2,0.01,255,3,0.01,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,30,2,0.07,255,52,0.2,0.03,0,0,0,0,anomaly
0,tcp,S0,0,0,0,276,8,0.03,255,8,0.03,0.06,0,0,0,0,anomaly
0,tcp,SF,302,1380,1,5,5,1,212,187,0.88,0.02,0,0,0,0.01,normal
0,tcp,S0,0,0,0,163,9,0.06,255,9,0.04,0.1,0,0,0,0,anomaly
0,icmp,SF,8,0,0,1,21,1,2,60,1,0,1,0.5,0,0,anomaly
0,tcp,S0,0,0,0,301,20,0.07,255,19,0.07,0.05,0,0,0,0,anomaly
0,tcp,SF,355,870,1,28,28,1,255,255,1,0,0,0,0,0,normal
0,icmp,SF,8,0,0,1,23,1,1,63,1,0,1,0.51,0,0,anomaly
18,tcp,SF,106,1468,0,1,1,1,117,1,0.01,0.04,0.01,0,0,0,normal
0,tcp,SF,286,1423,1,16,16,1,64,255,1,0,0.02,0.05,0,0,normal
9235,tcp,RSTR,1,0,0,2,2,1,255,2,0.01,0.74,1,0,1,1,anomaly
0,tcp,SH,0,0,0,1,1,1,255,1,0,1,1,0,0,0,anomaly
0,icmp,SF,1032,0,0,46,46,1,255,46,0.18,0.02,0.18,0,0,0,anomaly
0,tcp,SF,168,9551,1,1,2,1,230,255,1,0,0.01,0.01,0,0,normal
0,tcp,SF,238,864,1,39,39,1,137,255,1,0,0.01,0.01,0,0,normal
0,tcp,RSTR,0,0,0,1,1,1,255,1,0,0.38,0.36,0,0.37,1,anomaly
0,tcp,SF,291,10369,1,6,6,1,13,255,1,0,0.08,0.05,0,0,normal
0,tcp,S0,0,0,0,211,22,0.1,255,22,0.09,0.05,0,0,0,0,anomaly
0,tcp,SF,749,330,1,1,1,1,27,129,0.74,0.11,0.04,0.02,0,0,normal
0,tcp,SF,198,6924,1,12,12,1,230,255,1,0,0,0.01,0.01,0.01,normal
0,tcp,REJ,0,0,0,280,11,0.04,255,11,0.04,0.07,0,0,1,1,anomaly
0,tcp,SF,167,709,1,1,4,1,5,255,1,0,0.2,0.02,0,0,normal
0,tcp,SF,241,851,1,17,35,1,127,255,1,0,0.01,0.03,0,0,normal
0,tcp,SF,337,3360,1,6,6,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,729,328,1,1,1,1,106,156,0.41,0.04,0.01,0.01,0,0,normal
0,icmp,SF,8,0,0,1,44,1,1,111,1,0,1,0.51,0,0,anomaly
0,tcp,S0,0,0,0,201,1,0,255,4,0.02,0.07,0,0,0,0,anomaly
0,tcp,SF,222,1483,1,3,3,1,255,255,1,0,0.01,0,0,0,normal
0,tcp,REJ,0,0,0,276,14,0.05,255,14,0.05,0.07,0,0,1,1,anomaly
0,tcp,REJ,0,0,0,1,1,1,7,255,1,0,0.14,0.24,1,0.91,normal
0,udp,SF,46,134,0,145,225,1,255,255,1,0,0,0,0,0,normal
0,tcp,SF,246,2719,1,1,1,1,1,255,1,0,1,0.07,0,0,normal
0,tcp,SF,222,771,1,8,8,1,45,255,1,0,0.02,0.02,0,0,normal
0,tcp,S0,0,0,0,258,10,0.04,255,10,0.04,0.05,0,0,0,0,anomaly
0,tcp,S0,0,0,0,256,12,0.05,255,10,0.04,0.07,0,0,0,0,anomaly
409,tcp,SF,279,9598,1,1,1,1,251,113,0.45,0.01,0,0,0,0,normal
0,tcp,SF,226,651,1,12,12,1,255,255,1,0,0.01,0,0,0,normal
0,tcp,SF,299,447,1,26,44,1,255,255,1,0,0,0,0,0,normal
0,tcp,S0,0,0,0,14,6,0.43,94,26,0.28,0.04,0.01,0,0,0,anomaly
0,tcp,SF,12,0,1,2,2,1,11,88,0.36,0.27,0.36,0.02,0,0,normal
0,tcp,SF,281,1951,1,30,31,1,77,255,1,0,0.01,0.03,0,0,normal
0,tcp,S0,0,0,0,138,25,0.18,255,25,0.1,0.05,0,0,0,0,anomaly
0,udp,SF,42,42,0,4,6,1,255,245,0.96,0.01,0.01,0,0,0,normal
0,tcp,S0,0,0,0,300,7,0.02,255,7,0.03,0.07,0,0,0,0,anomaly
0,tcp,S0,0,0,0,199,9,0.05,255,9,0.04,0.07,0,0,0,0,anomaly
0,tcp,SF,263,453,1,15,15,1,255,255,1,0,0,0,0,0,normal
36613,tcp,RSTR,1,0,0,2,2,1,255,2,0.01,0.5,1,0,1,1,anomaly
0,tcp,RSTO,0,0,0,1,1,1,212,43,0.2,0.02,0,0,0.06,0.12,normal
0,tcp,S0,0,0,0,144,15,0.1,255,30,0.12,0.06,0,0,0,0,anomaly
0,tcp,S0,0,0,0,104,4,0.04,255,18,0.07,0.07,0,0,0,0,anomaly
0,tcp,SF,283,1980,1,18,18,1,18,255,1,0,0.06,0.03,0,0,normal
0,tcp,SF,161,5530,1,2,2,1,2,255,1,0,0.5,0.05,0,0,normal
0,tcp,SF,211,321,1,7,11,1,211,255,1,0,0,0.01,0,0,normal
